,sQuestion,lSolutions,Template,lEquations,iIndex,Alignment,Equiv
171,"A scientist has two solutions , which she has labeled Solution A and Solution B. Each contains salt . She knows that Solution A is 40 % salt and Solution B is 90 % salt . She wants to obtain 140 ounces of a mixture that is 80 % salt . How many ounces of each solution should she use ?","[28.0, 112.0]","['a * m + b * n = c * d', 'm + n = c']","['( 0.01 * 40 ) * x + ( 0.01 * 90 ) *y = ( 140 * 0.01 * 80 )', 'y=(140-x)']",519297,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 40.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 90.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 2, 'Value': 140.0, 'TokenId': 4}, {'coeff': 'd', 'SentenceId': 2, 'Value': 80.0, 'TokenId': 11}]",[]
172,The sum of two numbers is 43 . The difference of the same two numbers is 12 . What are the two numbers ?,"[15.5, 27.5]","['m + n = a', 'm - n = b']","['plane+tail_wind=43', 'plane-tail_wind=12']",251790,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 43.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 12.0, 'TokenId': 8}]",[]
173,Two cars leave town at the sime time traveling in opposite dirrections . One travels 70 mi/h and the other 55 mi/h . In how many hours will they be 250 miles apart ?,[2.0],['a * m + b * m = c'],['70*x+55*x=250'],604575,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 70.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 1, 'Value': 55.0, 'TokenId': 7}, {'coeff': 'c', 'SentenceId': 2, 'Value': 250.0, 'TokenId': 7}]",[]
174,The larger of two numbers is 2 more than 4 times the smaller . Their sum is 67 . FIND THE numbers,"[13.0, 54.0]","['m - a * n = b', 'm + n = c']","['y=4*x+2', 'x+y=67']",804723,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 1, 'Value': 67.0, 'TokenId': 3}]",[]
175,"Walt made an extra $ 9000 last year from a part-time job . He invested part of the money at a 9 % annual rate of interest , and the rest at an 8 % annual rate of interest . At the end of the year , he made a total of $ 770 in interest . How much was invested at 8 % ?","[4000.0, 5000.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['( 0.01 * 8 ) *x + ( 0.01 * 9 ) *y = 770', 'y=(9000-x)']",143318,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 1, 'Value': 8.0, 'TokenId': 20}, {'coeff': 'c', 'SentenceId': 2, 'Value': 770.0, 'TokenId': 13}, {'coeff': 'd', 'SentenceId': 0, 'Value': 9000.0, 'TokenId': 5}]","[[[3, 5, 8.0], [1, 20, 8.0]]]"
176,one number is twice another number . If the larger is diminished by ten the result is two more than the smaller . Find the number .,"[12.0, 24.0]","['m - n = a + b', 'm - c * n = 0']","['y = 2*x', 'y-10=x+2']",263644,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 10}]",[]
177,Susan decided to run the store which is 8 km from her house . She ran at a rate of 7 km per hour for part of the way and than walk at a rate of 3 km per hour the rest of the way . if the total trip took 2 hrs how many km did she run .,"[4.5, 3.5]","['1 / a * m + 1 / b * n = c', 'n + m = d']","['( 1 / 3 ) *x + ( 1 / 7 ) *y = 2', 'y=(8-x)']",384449,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 22}, {'coeff': 'b', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 2, 'Value': 2.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 8}]",[]
178,The sum of two numbers is 80 . The larger number is nine less than three times the smaller . Find both numbers .,"[22.25, 57.75]","['a * m - n = b', 'm + n = c']","['3*x - 9 = y', 'x+y=80']",360099,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 80.0, 'TokenId': 6}]",[]
179,if one is five more than another and their sum is seventy-one . find the number .,"[33.0, 38.0]","['m + n = a', 'm - n = b']","['x+y=71', 'y=x+5']",795485,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 71.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 3}]",[]
180,"A total of $ 50,000 is invested in two funds paying 8 % and 8.5 % simple interest . The annual interest is $ 4120 . How much is invested in each fund ?","[26000.0, 24000.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['x+y=50000', '( 0.01 * 8 ) *x + ( 0.01 * 8.5 ) *y = 4120']",179787,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 8.5, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 1, 'Value': 4120.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 0, 'Value': 50000.0, 'TokenId': 4}]",[]
181,Two integers have a sum of 255 . The difference of the two numbers is 45 . What are the two numbers .,"[150.0, 105.0]","['m + n = a', 'm - n = b']","['x+y=255', 'x-y=45']",230975,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 255.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 45.0, 'TokenId': 7}]",[]
182,A 57-foot long piece of rope is cut into two pieces so that one piece is three feet shorter than four times the other piece . Find the length of each piece .,"[12.0, 45.0]","['a * m - n = b', 'm + n = c']","['smaller+larger=57', '4*larger-smaller=3']",515177,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 20}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 16}, {'coeff': 'c', 'SentenceId': 0, 'Value': 57.0, 'TokenId': 1}]",[]
183,How many ounces of pure chocolate must be added to 220 ounces of chocolate topping that is 50 % chocolate to make a topping that is 75 % chocolate ?,[220.0],['m - 0.01 * a * m = 0.01 * a * b - 0.01 * c * b'],['x+0.01*50*(220)=0.01*75*(220+x)'],352130,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 75.0, 'TokenId': 26}, {'coeff': 'b', 'SentenceId': 0, 'Value': 220.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 0, 'Value': 50.0, 'TokenId': 17}]",[]
184,How much pure iodine must be added to 250 mL of 8 % iodine solution to get a 20 % iodine solution ?,[37.5],['m - 0.01 * a * m = 0.01 * a * b - 0.01 * c * b'],['(0.01*8*250)+x=(0.01*20)*(x+250)'],216262,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 20.0, 'TokenId': 18}, {'coeff': 'b', 'SentenceId': 0, 'Value': 250.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 11}]",[]
185,"A bricklayer and an eectrician together 90 hours working on a new house . If the bricklayer earns $ 12 per hour , the electrician earns $ 16 per hour , and the wner pays them a total of $ 1350 for their work , how many hours does each worker spend on the house ?","[67.5, 22.5]","['a * m + b * n = c', 'm + n = d']","['student+general=90', '12*student+16*general=1350']",112096,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 12.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 1, 'Value': 16.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 1, 'Value': 1350.0, 'TokenId': 26}, {'coeff': 'd', 'SentenceId': 0, 'Value': 90.0, 'TokenId': 6}]",[]
186,"If one number exceeds another number by 13 and the larger number is 1.5 times the smaller number , what is the smaller number ?","[26.0, 39.0]","['m - n = a', 'm - b * n = 0']","['y=1.5*x', 'x+13=y']",238128,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 13.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 1.5, 'TokenId': 13}]",[]
187,"Tickets for a basketball tournament were $ 6 for students and $ 9 for nonstudents . Total sales were $ 10,500 , and 250 more student tidkets were sold than nonstudents . How many of each type of ticket were sold ?","[850.0, 600.0]","['a * m + b * n = c', 'm - n = d']","['6*x+9*y=10500', 'x=(y+250)']",314197,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 12}, {'coeff': 'c', 'SentenceId': 1, 'Value': 10500.0, 'TokenId': 4}, {'coeff': 'd', 'SentenceId': 1, 'Value': 250.0, 'TokenId': 7}]",[]
188,a truck traveling 45 miles a hour and a car traveling 55 miles a hour cover the same distance . The truck travels 4 hours longer than the car . How far did they travel .,[990.0],['1 / a * m - 1 / b * m = c'],['( 1 / 45 ) *x = ( 1 / 55 ) *x + 4'],426623,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 45.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 0, 'Value': 55.0, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 3}]",[]
189,Serena is nine years old . Her mother is 39 years old . In how many years will her mother be three times as old as Serena ?,[6.0],['m - a * m = a * b - c'],['39 + x = 3 *( 9 + x )'],656993,"[{'coeff': 'a', 'SentenceId': 2, 'Value': 3.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 2}, {'coeff': 'c', 'SentenceId': 1, 'Value': 39.0, 'TokenId': 3}]",[]
190,Two numbers have a sum of 67 . The smaller number is 21 less than the larger number . Find the two numbers .,"[44.0, 23.0]","['m + n = a', 'm - n = b']","['y+x=67', 'y=(x-21)']",840960,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 67.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 21.0, 'TokenId': 4}]",[]
191,A and B starts running towards each other with speed of 30 m/hr and 20 miles/hr initially they are 500 miles apart when they start . After how many hr will they meet .,[10.0],['a * m + b * m = c'],['30*x + 20*x = 500'],325599,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 20.0, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 0, 'Value': 500.0, 'TokenId': 19}]",[]
192,joe 's age is 4 less than the age of his brother tom . the sum of their age is 41 . find the age of each .,"[18.5, 22.5]","['m + n = a', 'm - n = b']","['j=t-4', 'j+t=41']",279273,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 41.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 4}]",[]
193,Mrs. Lynch has 21 coins in nickles and dimes . Thier total value is $ 1.65 . How many of each coin is there,"[9.0, 12.0]","['a * m + b * n = c', 'm + n = d']","['.05*x + .10*y = 1.65', 'x+y=21']",16650,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 0.050000000745058004, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 0.10000000149011601, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 1, 'Value': 1.65, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 0, 'Value': 21.0, 'TokenId': 3}]",[]
194,British sterling silver is a copper-silver alloy that is 7.5 % copper by weight . How many grams of pure copper and how many grams of British sterling silver should be used to prepare 200 grams of a copper-silver alloy that is 10 % copper by weight ?,"[5.40540540541, 194.594594595]","['m + 0.01 * a * n = 0.01 * b * c', 'n + m = c']","['x+(0.01*7.5)*y=(0.01*10*200)', 'y=(200-x)']",337071,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 7.5, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 27}, {'coeff': 'c', 'SentenceId': 1, 'Value': 200.0, 'TokenId': 19}]",[]
195,An airplane travels 6030 km against the wind in 30 hours and 6750 with the wind in the same amount of time . What is the rate of the plane in still air and what is the rate of the wind ?,"[213.0, 12.0]","['a * m + a * n = b', 'a * m - a * n = c']","['30*x + 30*y = 6750', '30*x - 30*y = 6030']",311966,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 0, 'Value': 6750.0, 'TokenId': 12}, {'coeff': 'c', 'SentenceId': 0, 'Value': 6030.0, 'TokenId': 3}]",[]
196,Leah and Ryanne went out for a bike ride into the country . They averaged 24 miles per hour on the way out and 18 miles per hour on the way back by the same roads . Their total travel time was 7 hours . How far did they go ?,[72.0],['1 / a * m + 1 / b * m = c'],['( 1 / 24 + 1 / 18 ) *x = 7'],25041,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 24.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 1, 'Value': 18.0, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 2, 'Value': 7.0, 'TokenId': 5}]",[]
197,The sum of two numbers is 75 . The second number is 3 less than twice the first . Find the two numbers .,"[49.0, 26.0]","['a * m - n = b', 'm + n = c']","['smaller+larger=75', '2*smaller-larger=3']",657718,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 75.0, 'TokenId': 6}]",[]
198,The difference between two numbers is 14 . The sum of the two numbers is 56 . What are the two numbers and it 's product ?,"[35.0, 21.0]","['m + n = a', 'm - n = b']","['x-y=14', 'y=(56-x)']",381475,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 56.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 14.0, 'TokenId': 6}]",[]
199,"A pilot flew an average of 300 mph on a flight out . On the return flight to the same airport , he flew at an average speed of 500 mph . The total flight time was 8 hours . How far did he fly each way ?",[1500.0],['1 / a * m + 1 / b * m = c'],['(1/300)*x+(1/500)*x=8'],358957,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 300.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 500.0, 'TokenId': 16}, {'coeff': 'c', 'SentenceId': 2, 'Value': 8.0, 'TokenId': 5}]",[]
200,Linda is 3 more than 2 times the age of Jane . In five years the sum of their ages will be 28 . What is Linda 's age at present ?,"[13.0, 5.0]","['m + n = a - b - b', 'm - c * n = d']","['x = 3 + 2*y', '(x+5)+(y+5)=28']",487014,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 28.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 1}, {'coeff': 'c', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 2}]",[]
201,Kevin is 16 years old and Vanessa is 2 years old . How many years will it take until Kevin is only 3 times as old as Vanessa ?,[5.0],['m - a * m = a * b - c'],['16 + x = 3 *( 2 + x )'],925397,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 0, 'Value': 16.0, 'TokenId': 2}]",[]
202,"Two cars leave town A at the same time going in the same direction . The speed of one car is 40 mph , and the speed of the other car is 55 mph . In how many hours will the cars be 45 mi apart ?",[3.0],['a * m - b * m = c'],['55*x - 40*x = 45'],74243,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 55.0, 'TokenId': 17}, {'coeff': 'b', 'SentenceId': 1, 'Value': 40.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 2, 'Value': 45.0, 'TokenId': 8}]",[]
203,"Donna invested her $ 33,000 bonus and received a total of $ 970 in interest after one year . If part of the money returned 4 % and the remainder 2.25 % , then how much did she invest at each rate ?","[13000.0, 20000.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['x+y=33000', '(0.01*4)*x+(0.01*2.25)*y=970']",397886,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 2.25, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 0, 'Value': 970.0, 'TokenId': 12}, {'coeff': 'd', 'SentenceId': 0, 'Value': 33000.0, 'TokenId': 4}]",[]
204,The difference of two numbers is 37 . The larger number is three less than six times the smaller number .,"[45.0, 8.0]","['a * m - n = b', 'n - m = c']","['x-y=37', 'x = 6*y - 3']",267386,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 37.0, 'TokenId': 6}]",[]
205,A man 38 years old has a son who is 14 years old . How many years ago was the father seven times as old as his son ?,[10.0],['-1 * a * m + m = b - a * c'],['38 - x = 7 *( 14 - x )'],168965,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 38.0, 'TokenId': 2}, {'coeff': 'c', 'SentenceId': 0, 'Value': 14.0, 'TokenId': 10}]",[]
206,One number is 7 less than another . If 4 times the smaller number plus 2 times the larger number is 62 . find the two numbers .,"[15.0, 8.0]","['a * m + b * n = c', 'm - n = d']","['x-y=7', '4*y + 2*x = 62']",52939,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 1}, {'coeff': 'c', 'SentenceId': 1, 'Value': 62.0, 'TokenId': 13}, {'coeff': 'd', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 3}]",[]
207,"darren and doug must paint the 792 foot fence that encircles their family home . because darren is older , he has agreed to paint 20 % more than darren . how much of the fence will each boy Paint ?","[360.0, 432.0]","['m - n - 0.01 * a * n = 0', 'n + m = b']","['x+y=792', 'y=(x+0.01*20*x)']",257214,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 20.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 0, 'Value': 792.0, 'TokenId': 6}]",[]
208,"if the ratio of two brothers ' ages is 3 to 2 and their total age is 60 years old , what is the difference in their ages ?","[24.0, 36.0]","['a * m - b * n = 0', 'm + n = c']","['boys+girls=60', '2*boys-3*girls=0']",517110,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 0, 'Value': 60.0, 'TokenId': 17}]",[]
209,"When Ricky was 10 years old , his father was 45 . How many years must pass for Ricky to be 5 years older than 1/5 as old as his father ?",[5.0],['m - a * m = a * b + c - d'],['(10+x)=(1/5)*(45+x)+5'],575149,"[{'coeff': 'a', 'SentenceId': 1, 'TokenId': 13, 'Value': 0.2}, {'coeff': 'c', 'SentenceId': 1, 'TokenId': 9, 'Value': 5.0}, {'coeff': 'b', 'SentenceId': 0, 'TokenId': 10, 'Value': 45.0}, {'coeff': 'd', 'SentenceId': 0, 'TokenId': 3, 'Value': 10.0}]",[]
210,the cooling system in ann 's car contains 19 liters of 30 % antifreeze . how much coolant must be drained out and replaced with 80 % antifreeze so that the system will contain 50 % antifreeze . how much of the original coolant will be left in the car ?,"[7.6, 11.4]","['a * m + b * n = c * d', 'm + n = c']","['x+y=19', '0.01*30*(y)+0.01*80*x=0.01*50*(19)']",445611,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 1, 'Value': 80.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 0, 'Value': 19.0, 'TokenId': 8}, {'coeff': 'd', 'SentenceId': 1, 'Value': 50.0, 'TokenId': 19}]",[]
211,"A bricklayer and an electrician together spend 90 hours working on a new house . If the bricklayer earns $ 12 per hour , the electrician earns $ 16 an hour , and the owner pays them a total of $ 1350 for their work , how many hours does each worker spend on the house ?","[22.5, 67.5]","['a * m + b * n = c', 'm + n = d']","['(x+y)=90', '( 12*x + 16*y ) = 1350']",47186,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 12.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 1, 'Value': 16.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 1, 'Value': 1350.0, 'TokenId': 26}, {'coeff': 'd', 'SentenceId': 0, 'Value': 90.0, 'TokenId': 7}]",[]
212,one number is four greater than another number when three times the smaller number is added to twice the larger number the result is 43 .,"[11.0, 7.0]","['a * m + b * n = c', 'm - n = d']","['3*y + 2*x = 43', 'x=4+y']",264508,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 17}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 0, 'Value': 43.0, 'TokenId': 24}, {'coeff': 'd', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 3}]",[]
213,It takes Sal 5 hours to paint a house . It takes Mary 3 hours to paint the same house . How long will it take to paint the house if both of them work together ?,[1.875],['1 / a * m + 1 / b * m = 1'],['( 1 / 5 + 1 / 3 ) *x = 1'],38089,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 3}]",[]
214,Father is 5 time older then son . In 15 years father will be twice as older then son how old Father at present age .,"[25.0, 5.0]","['m - a * n = a * b - b', 'm - c * n = 0']","['x + 15 = 2 *( y + 15 )', 'x = 5*y']",666553,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 15.0, 'TokenId': 1}, {'coeff': 'c', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 2}]",[]
215,"One number is 9 more than 3 times another . If their sum is 53 , what is the smaller number ?","[42.0, 11.0]","['m - a * n = b', 'm + n = c']","['3*y + 9 = x', 'x+y=53']",26869,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 53.0, 'TokenId': 4}]",[]
216,A high school graduating class is made up of 345 students . There are 69 more girls than boys . How many boys are in the class ?,"[138.0, 207.0]","['m + n = a', 'm - n = b']","['x+y=345', 'y=(x+69)']",332591,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 345.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 1, 'Value': 69.0, 'TokenId': 2}]",[]
217,"You invest $ 8000 in two accounts paying 8 % and 5 % respectively . If the interest at year 's end is 490 , how much of that amount did you invest at each rate ?","[3000.0, 5000.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['( 0.01 * 8 ) *x + ( 0.01 * 5 ) *y = 490', 'y=(8000-x)']",320604,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 1, 'Value': 490.0, 'TokenId': 8}, {'coeff': 'd', 'SentenceId': 0, 'Value': 8000.0, 'TokenId': 3}]",[]
218,"The sum of the digits is 9 . If the digits are reversed , the numbers is increased by 27 . Find the original no .","[3.0, 6.0]","['10 * m + n - 10 * n - m = -1 * a', 'n + m = b']","['x+y=9', '10*x + y + 27 = 10*y + x']",205928,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 27.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 6}]",[]
219,"Mike 's house payments rose from $ 295 to $ 310 per month . In the past 12 months , he paid $ 3615 . How many payments at each rate did he make ?","[5.0, 7.0]","['a * m + b * n = c', 'm + n = d']","['310*x + 295*y = 3615', 'y=(12-x)']",70859,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 295.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 310.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 1, 'Value': 3615.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 1, 'Value': 12.0, 'TokenId': 3}]",[]
220,"Jane worked 3 times as many hours last week as Jim did . If they worked 28 hours between the two of them , how many hours did each of them work","[7.0, 21.0]","['m + n = a', 'n - b * m = 0']","['y+x=28', 'y = 3*x']",631883,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 28.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 2}]",[]
221,A pool can be filled with water in 10 hours . Draining the pool requires 20 hours . If the pool is empty and the drain is open how much time will be needed to fill the pool ?,[20.0],['1 / a * m - 1 / b * m = 1'],['( 1 / 10 - 1 / 20 ) *x = 1'],314515,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 1, 'Value': 20.0, 'TokenId': 4}]",[]
222,"two cyclists leave the city at the same time , one going east and the other going west . The westbound cyclist bikes 5 mph faster than the eastbound cyclist . after 6 hours they are 246 miles apart . How fast is each cyclist riding ?","[18.0, 23.0]","['a * m + a * n = b', 'n - m = c']","['6 *( x + y ) = 246', 'y=x+5']",96486,"[{'coeff': 'a', 'SentenceId': 2, 'Value': 6.0, 'TokenId': 1}, {'coeff': 'b', 'SentenceId': 2, 'Value': 246.0, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 4}]",[]
223,Ben is 3 years younger than Dan . The sum of their ages is 53 . How old is each ?,"[25.0, 28.0]","['m + n = a', 'm - n = b']","['x+y=53', 'x=y-3']",202132,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 53.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 2}]",[]
224,four years hence a boy will be twice as old as he was 6 years ago . what is his present ages ?,[16.0],['m - a * m = -1 * a * b - c'],['( x + 4 ) = 2 *( x - 6 )'],830285,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 0}]",[]
225,"Jose can paint a room in two hours , juanita can paint the room in three hours , how long would it take them to paint the room working together ?",[1.2],['1 / a * m + 1 / b * m = 1'],['x*(1/2+1/3)=1'],706076,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 15}]",[]
226,"Transport a and transport b left the loading dock at noon and headed in opposite directions . If transport a traveled at 60 mph and transport b traveled at 68 mph , how many hours was it before they were 348 miles apart ?",[2.71875],['a * m + b * m = c'],['60*x + 68*x = 348'],310506,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 60.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 1, 'Value': 68.0, 'TokenId': 12}, {'coeff': 'c', 'SentenceId': 1, 'Value': 348.0, 'TokenId': 23}]",[]
