,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Answer
32,"The $1,500 investment has a yearly return of 12 percent.","The $1,500 investment has a yearly return of 12 percent.","Since the combined yearly return of the two investments is 19 percent, and the $500 investment has a yearly return of 7 percent, the $1,500 investment must have a yearly return of 12 percent.","The $500 investment has a return of 7%, and the $1,500 investment has a return of 12%. The total return is 19%.","The $1,500 investment has a yearly return of 12 percent.","The $1,500 investment has a yearly return of 12 percent.","The $1,500 investment has a yearly return of 12 percent.","The correct answer is D)21%.

To solve this problem, we can use the combined return formula:

Combined Return = (Investment 1 Return + Investment 2 Return) / (Investment 1 + Investment 2)

We are given that the combined return is 19 percent and that the return on the first investment is 7 percent. We can plug those values into the formula to solve for the return on the second investment:

19% = (7% + Investment 2 Return) / (500 + 1500)

19% = (7% + Investment 2 Return) / 2000

0.19 = (0.07 + Investment 2 Return) / 2000

0.19 = 0.07 + Investment 2 Return

Investment 2 Return = 0.19 - 0.07

Investment 2 Return = 0.12

Investment 2 Return = 12%","The $1,500 investment has a yearly return of 12 percent.","The $1,500 investment has a yearly return of 12 percent.",C)23%
33,The answer is C)17. -x2 - (k + 11)x - 8 = -(x - 2)(x - 4) can be rewritten as -x2 - kx - 19 = -(x - 2)(x - 4). This equation is true when k = 17.,"The answer is B) 12. 

-x2 - (k + 11)x - 8 = -(x - 2)(x - 4)

-x2 - kx - 8 - 11x = -x2 + 2x + 4x - 8

-x2 - kx - 8 - 11x + 8 = 2x + 4x

-x2 - kx = 19x

kx = x2 + 19x

k(x + 2) = x(x + 19)

k = x + 19","The answer is B) 12.

We are looking for the constant k so that the equation -x2 - (k + 11)x - 8 can be rewritten as -(x - 2)(x - 4).

Rewriting the equation as -(x - 2)(x - 4) would give us:

-(x2 - 6x + 8)

To make the equations equal, we need the x2 terms to cancel, the 6x terms to cancel, and the 8 terms to cancel.

This can be achieved by setting k = 12.",C) 17,"The answer is D)14.

-x2 - (k + 11)x - 8 = -(x - 2)(x - 4)

-x2 - (k + 11)x - 8 = -x2 + 2x - 4x + 8

-x2 - (k + 11)x - 8 = -x2 + 6x - 8

k = 14","D) 14 

-x2 - (k + 11)x - 8 = -(x - 2)(x - 4)

-x2 - (k + 11)x - 8 = -x2 + 2x - 4x + 8

-x2 - (k + 11)x - 8 = -x2 + 6x - 8

k = 14","D) 14.

-x2 - (k + 11)x - 8 = -(x - 2)(x - 4)

-x2 - (k + 11)x + 2x - 8 = -(x^2 - 6x + 8)

-x^2 + 2x - (k + 11)x + 8 = 0

-x^2 + 2x - kx + 8 = 0

-x(x - 2) + (2 - k)x + 8 = 0

-x(x - 2) + 2x - kx + 8 = 0

-x(x - 2) + 2(x - k) + 8 = 0

-x(x - 2) + 2x - 2k + 8 = 0

-x(x - 2) + 2x - 2k = -8

-x^2 + 2x - 2k = -8

-x^2 + 2x - 2k - 8 = 0

-x^2 + 2x - 2k - 8 = -(x - 4)(x - 2)

-x^2 + 2",C) 17,"D) 14 

-x2 - (k + 11)x - 8 = -(x - 2)(x - 4)

-x2 - (k + 11)x - 8 = -x2 + 4x - 8

k = 14","D) 14 

-x^2 - (k+11)x - 8 = -(x-2)(x-4)

-x^2 - (k+11)x + 2x - 8 = 0

-x(x+k+11)+2(x-4) = 0

-x(x+k+11) = 2(4-x)

-x(x+k+11) = 8-2x

x(k+3) = 6 

k = -3",C)17
34,"D) II & III. The number must be divisible by both 2 and 3 in order to be divisible by 6, and it must be divisible by 5 in order to be divisible by 10.",The answer is D)II & III. A positive whole number is divisible by 3 and 5 if it is divisible by 15. A positive whole number is divisible by 15 if it is divisible by 30. A positive whole number is divisible by 30 if it is divisible by 60.,"The number MUST be divisible by:

I. 15
II. 30
III. 60

The answer is D) II & III.","The number must be divisible by 15, 30, and 60. The number could be divisible by other numbers, but these are the only requirements.","The number must be divisible by 15, 30, and 60. Therefore, the correct answer is C) I & III.","The answer is D) II & III. A positive whole number is divisible by the factors of 3 and 5. The number must be divisible by 15, 30, and 60. II & III are the only two that are correct.","The answer is D) II & III. A positive whole number has factors of 3 and 5. The number is divisible by 15, 30, and 60.","nly

The answer is E) II only. A positive whole number is divisible by 3 and 5 if it is divisible by 15. A positive whole number is divisible by 3 and 5 if it is divisible by 30. A positive whole number is divisible by 3 and 5 if it is divisible by 60.","nly

The number must be divisible by both 3 and 5 in order to have factors of 3 and 5. Therefore, the number must also be divisible by 15, 30, and 60. The answer is C.","nly

The number must be divisible by both 3 and 5. The only answer that includes both 3 and 5 is answer E, II only.",B)III
35,The total gain was Rs.48000 because Krishan invested six times as much money as Nandan and the money was invested for double the amount of time.,"The total gain was Rs.78000. Krishan invested six times as much as Nandan and for double the time, so his gain would be 6*2=12 times as much. Nandan's gain was Rs.6000, so Krishan's would be 12*6000=Rs.72000. Together, they earned Rs.78000.","The total gain was Rs. 48,000. Krishan's investment was six times that of Nandan, and he invested his money for double the time, so his total gain would be (6 x Nandan's gain) + (2 x Nandan's gain) = (8 x Nandan's gain). Therefore, Krishan's gain was Rs. 48,000 and Nandan's gain was Rs. 6000.","Krishan and Nandan jointly started a business. Krishan invested six times as Nandan did and invested his money for double time as compared to Nandan. Nandan earned Rs. 6000. If the gain is proportional to the money invested and the time for which the money is invested then the total gain was? A)Rs.78000 B)Rs.48000 C)Rs.6000 D)Rs.82000 E)Rs.32000

Given that the gain is proportional to the money invested and the time for which the money is invested, the total gain would be Rs.78000.","The total gain would be Rs.48,000, because Krishan's investment is six times that of Nandan, and his investment time is double that of Nandan. Therefore, his gain would be six times that of Nandan.",The total gain was Rs.48000.,"The total gain was Rs.78000.

Krishan's investment: 6 * Nandan's investment
Krishan's time: 2 * Nandan's time

Therefore, Krishan's gain: 6 * Nandan's investment * 2 * Nandan's time = 12 * Nandan's investment * Nandan's time

Nandan's gain: Nandan's investment * Nandan's time

Therefore, total gain: 12 * Nandan's investment * Nandan's time + Nandan's investment * Nandan's time = 13 * Nandan's investment * Nandan's time = 13 * 6000 * 1 = 78000","The total gain was Rs. 48000.

Krishan's investment = 6 x Nandan's investment
Krishan's time investment = 2 x Nandan's time investment

Therefore, Krishan's gain = 2 x Nandan's gain

Krishan's gain + Nandan's gain = total gain
2 x Nandan's gain + Nandan's gain = total gain
3 x Nandan's gain = total gain

Nandan's gain = Rs. 6000
3 x Rs. 6000 = Rs. 18000

Therefore, the total gain was Rs. 48000.","The total gain was Rs.48000.

Krishan invested six times as much money as Nandan, and he invested his money for double the amount of time. Therefore, his gain would be twice as much. Nandan's gain was Rs.6000, so Krishan's gain would be 2 x Rs.6000, or Rs.12000.

Krishan and Nandan's total gain would be Rs.12000 + Rs.6000, or Rs.18000. However, since Krishan's money was invested for double the amount of time, his gain should be doubled. Therefore, the total gain would be Rs.2 x Rs.18000, or Rs.36000.","The total gain was Rs.48000. Krishan's investment was 6 times that of Nandan's, and he invested his money for double the time, so his gain would be 2 times that of Nandan's.",A)Rs.78000
36,C) 28,"There are 8 players in a chess group, and each player plays each of the others once. Given that each game is played by two players, there will be 28 total games played.",C)28,"There are 8 players in a chess group, and each player plays each of the others once. Given that each game is played by two players, there will be 28 total games played.",C) 28,C)28,"The answer is C)28. There are 8 players in the chess group, and each player plays each of the others once. This means that there are 8 games played.","There are 8 players in a chess group, and each player plays each of the others once. Given that each game is played by two players, there will be a total of 28 games played.","There are 8 players in a chess group, and each player plays each of the others once. Given that each game is played by two players, there will be a total of 28 games played.",There are 28 games that will be played.,C)28
37,C) 90 min,"The answer is D) 80 min.

It takes the pipe 1 hour to fill the tank. Therefore, it would take the pipe 80 minutes to empty the tank if there was no leakage. However, because there is a leakage, it takes the pipe 2 hours to fill the tank. Therefore, it would take the pipe 80 minutes to empty the tank.","The answer is C) 90 min.

It takes the pipe 50 minutes to fill the tank. Because of the leakage, it takes the pipe twice as long, or 100 minutes, to fill the tank. The leakage empties the tank in 90 minutes.","C) 90 min.

It takes the pipe 1 hour to fill the tank. Because of the leakage, it takes the pipe 2 hours to fill the tank. Therefore, the leakage empties the tank in half the time, or 45 minutes.","C) 90 min.

It takes the pipe 1 hour to fill the tank. Since there is a leakage, it would take the pipe twice as long, or 2 hours, to fill the tank. Therefore, the leakage would take 90 minutes to empty the tank.",The time taken by the leakage to empty the tank is 80 minutes.,The time taken by the leakage to empty the tank is 80 minutes.,"The answer is C) 90 min.

The pipe can fill the tank in 1 hour. If there is a leakage, it will take 2 hours to fill the tank. The leakage will empty the tank in 90 minutes.",D) 80 min,The time taken by the leakage to empty the tank is 80 minutes.,E)120 min
38,"Today is Thursday. 22 days before Mariah's graduation would be Thursday, March 18. However, if Mariah graduates on a Friday, that means her graduation is Friday, April 8. 22 days before April 8 is Thursday, March 18.",A)Monday,A) Monday,It is Thursday.,It is Thursday. Today is four days before Friday.,"It is Thursday. Today is four days before the graduation, which would be Friday.",D)Thursday,A) Monday,"The answer is A) Monday. 22 days before Mariah's graduation would be Monday, May 4th.",A) Monday,D)Thursday
39,"D) 11 

a + b + c = a(1/a + 1/b + 1/c) = a(1) = a","B)4 

Since 1/a + 1/b + 1/c = 1, we can cross multiply to get a + b + c = abc/(ab + bc + ca). Since a, b, and c are positive integers, ab, bc, and ca are also positive integers. Therefore, abc/(ab + bc + ca) is a positive integer, and so a + b + c is a positive integer.","C) 9 

1/a + 1/b + 1/c = 1

a + b + c = 9",There are no such integers.,"D) 11 

a + b + c = 11 because 1/a + 1/b + 1/c = 1 and a, b, and c are positive integers.","The answer is D) 11. 

We can set up the equation as follows: 

1/a + 1/b + 1/c = 1 

Multiplying both sides by abc, we get: 

abc/ab + abc/bc + abc/ac = abc 

Which can be simplified to: 

a/b + b/c + c/a = abc 

Since a, b, and c are all positive integers, we know that a/b, b/c, and c/a are all positive as well. 

Therefore, the left side of the equation is also a positive integer, and since the left side is equal to the right side, the right side must also be a positive integer. 

Since the right side is a positive integer, we know that a, b, and c must all be positive integers as well. 

We also know that a < b < c, so the only possible value for a + b + c is 11.","The answer is D) 11. If a, b, and c are positive integers with a < b < c, then 1/a + 1/b + 1/c = 1. Therefore, a + b + c = 11.","D) 11 

Reasoning: 

a + b + c = a(1/a + 1/b + 1/c) = a(1) = a","The answer is D) 11. This is because if 1/a + 1/b + 1/c = 1, then a + b + c must be equal to the sum of the reciprocals, which is 11.","E) No such integers exist. 

This is because if 1/a + 1/b + 1/c = 1, then a + b + c must be equal to the LCM of a, b, and c. However, since a < b < c, the LCM of a, b, and c must be greater than a + b + c, which is a contradiction.",D)11
40,"The answer is D) 55 years.

The age of the man is three times the sum of the ages of his two sons. Four years hence, his age will be double of the sum of the ages of his sons. The father's present age is:

A) 36 years
B) 45 years
C) 50 years
D) 55 years
E) 75 years

The answer is D) 55 years.","The correct answer is C)50 years.

This can be determined by solving the two equations for the ages of the father and sons.

3(x+4)=2(x+8)

x=50","The age of the man is three times the sum of the ages of his two sons. Four years hence, his age will be double of the sum of the ages of his sons. The father's present age is: A) 36 years B) 45 years C) 50 years D) 55 years E) 75 years.","The answer is D) 55 years.

This can be determined by setting up the equation:

3x = 2(x+4)

Solving for x, we get x = 55.","C)50 years The age of man is three times the sum of the ages of his two sons.Four years hence,his age will be double of the sum of the ages of his sons.The fatherâ€™s present age is 50 years.",The father's present age is 36 years.,"The age of man is three times the sum of the ages of his two sons.

The father's present age is:

A) 36 years

B) 45 years

C) 50 years

D) 55 years

E) 75 years

The answer is E) 75 years.","C) 50 years 

The father's present age would be 50 years old if the sum of his two sons' ages was 16 years old (3 x 16 = 48, 48 + 2 = 50).","The correct answer is D) 55 years.

This is because if the father's age is three times the sum of the ages of his two sons, and four years from now his age will be double the sum of the ages of his sons, then the father's present age must be 55 years.","The answer is D)55 years.

The reasoning is as follows:

The age of the man is three times the sum of the ages of his two sons. Therefore, the man's age is three times the sum of the ages of his two sons plus four years.

The father's present age is 55 years.",A)36 years
41,"A) 32.5% 

Since a bottle of coke contains 200gm in place of 1kg of fluid, the actual % difference is (1000-200)/1000 or 32.5%.","C) 35%

200 g / 1 kg = 0.2 kg

0.2 kg + (0.2 kg * 0.1) = 0.22 kg

0.22 kg / 1 kg = 0.22

0.22 - 0.2 = 0.02

0.02 / 0.2 = 0.1

0.1 * 100 = 10%",The actual percent difference is 35%.,"The actual % difference is 40%. 200gm is equivalent to 0.2kg, which is 10% less than the 1kg of fluid. 10% of 1kg is 0.1kg. Therefore, the difference between the two is 0.1kg, or 40%.","C) 35%

The actual % difference is 35%. This is calculated by taking the 10% gain on initial fluid and dividing it by the 1kg of fluid.","The correct answer is C)35%.

A bottle of Coke has 200 grams of fluid in it, which is 10% more than the initial amount of fluid. Therefore, the actual % difference is 10%.","The correct answer is D) 40%.

A 10% gain on the initial fluid would mean that the bottle now contains 1.1kg of fluid. The difference in weight between the two is 0.1kg, or 100g. Since 200g is one-fifth of 1kg, the difference is therefore one-fifth, or 20%. Therefore, the actual % difference is 40%.","B) 112.5%

The initial amount of fluid was 1 kg. After the 10% gain, the new amount of fluid is 1.1 kg. The difference between the two is 0.1 kg, or 100 g. Since the bottle of Coke contains 200 g, the difference is 100 g/200 g, or 50%. However, since we're looking for the percentage difference, we need to multiply by 100, so the answer is 50% * 100, or 112.5%.","A) 32.5%

The actual difference is (200-1)/1, or 199%. However, since the coke has a 10% gain on initial fluid, the actual difference is 199% + 10%, or 209.9%. Therefore, the answer is 32.5%.","B) 112.5%

The actual % difference is the difference between the new amount and the original amount, divided by the original amount. In this case, the difference is 800 g, and the original amount was 1 kg. Therefore, the actual % difference is 800/1000, or 80%.",B)112.5%
42,C)48,C)48,"The person can travel a total of 128 miles in 8 hours. If they walked for 8 hours, they would travel 64 miles. This means they would have to bike 64 miles in 4 hours, or 16 miles in 1 hour.",C)48 The person would need to walk for half the time and bike for the other half. 8 hours * (1/2) = 4 hours. 4 hours * 8mph = 32 miles. The person would then need to bike for the other 4 hours at 16mph to travel the other 32 miles.,C) 48,The answer is C)48. The person would require to walk 48 miles and bike 16 miles in 8 hours using bike and walking at their constant rates.,C)48. The person would need to walk for half the time and bike for half the time. 8 hours divided by 2 is 4 hours. 64 miles divided by 4 hours is 16 miles.,C)48,"The person would require 48 miles to walk, because 8 hours times 8 mph equals 64 miles.","The person can bike at a rate of 16mph and walk at a rate of 8mph. In order to travel 64 miles in 8 hours, the person would need to walk for 4 hours and bike for 4 hours. This would cover a total distance of 32 miles.",D)64
43,"D) 273358

5358 x 51 = 273258

The answer is D) 273358.","D) 273358

5358 x 51 = 273158

The answer is D) 273358.","D) 273358

This is simply 5358 multiplied by 51.","The answer is D) 273358.

To solve this problem, you can use the distributive property. This states that for any numbers a, b, and c, a(b + c) = ab + ac.

So, 5358 x 51 can be rewritten as 5358(50 + 1).

Now, using the distributive property, this becomes 5358(50) + 5358(1).

50 is 10 x 5, so 5358(50) = 5358(10 x 5) = 10(5358 x 5).

1 is just 1, so 5358(1) = 5358(1).

Now, you can add 10(5358 x 5) + 5358(1) to get your answer, which is 273358.","The answer is D) 273358.

To find the answer, you need to multiply 5358 by 51.

5358
x 51
_____
26538
5358
10756
16114
21672
27230

The answer is 273358.","The answer is D)273358.

To arrive at the answer, we can use the distributive property.

5358 x 51 = 5358 x (50 + 1)

= 5358 x 50 + 5358

= 267900 + 5358

= 273358","The answer is D)273358.

To solve this problem, you need to multiply 5358 by 51.

The easiest way to do this is to use the distributive property.

5358 x 51 = (5000 + 300 + 50 + 8) x 51

= (5000 x 51) + (300 x 51) + (50 x 51) + (8 x 51)

= 255000 + 15300 + 2550 + 408

= 273358","D) 273358

This is simply 5358 multiplied by 51.","D)273358

This is simply 5358 multiplied by 51.","None of these. 5358 x 51 = 273,858",A)273258
44,"The probability that the couple does not sit together is 3/5. There are 5 possible ways for the couple to be seated, and only 2 of those ways involve the couple sitting together. Therefore, the probability that the couple does not sit together is 3/5.","D) 3/5

There are 5 possible ways to seat the couple apart:

Couple in chairs 1 and 3, single in chair 2
Couple in chairs 1 and 4, single in chair 3
Couple in chairs 2 and 3, single in chair 1
Couple in chairs 2 and 4, single in chair 1
Couple in chairs 3 and 4, single in chair 2

There are 3 ways out of 5 in which the couple does not sit together. Therefore, the probability is 3/5.","D) 3/5

There are 3 ways to seat the couple such that they do not sit together, and 5 ways to seat the 3 people overall. Therefore, the probability is 3/5.","C) 2/5 The couple has two options to sit (either next to each other or not), and the single person has five. Therefore, the probability of the couple not sitting together is 2/5.","D) 3/5

The probability that the couple does not sit together is the same as the probability that they sit together, which is 3/5.","The probability that the couple does not sit together is 3/5. There are five possible ways for the couple to be seated in the row of chairs, and two of those ways involve the couple sitting together. Therefore, the probability that the couple does not sit together is 3/5.","The probability that the couple does not sit together is 4/5. The couple can sit in any of the 4 chairs that are not next to each other, and the single person can sit in any of the 5 chairs. Therefore, there are 4*5 ways for the couple and single person to sit, out of the 5*5 total ways that 3 people can sit.","The probability that the couple does not sit together is 4/5. The couple can sit in any of the 4 chairs that are not next to each other, and the single person can sit in any of the 5 chairs.","The answer is D) 3/5.

There are 3 ways to seat the couple so they are not together, and 5 ways to seat the single person. So the probability is 3/5.",B)4/5 The couple has 4 ways to not sit together and there are 5 ways total for the 3 people to be seated.,D)3/5
45,The chances that at least 1 customer bought a coffee and a bagel is 9/125.,The chances that at least 1 customer bought a coffee and a bagel are 9/125.,The chances that at least 1 customer bought a coffee and a bagel is 9/125.,"C) 27/125

There are 125 possible outcomes when 8 customers are selected, and 27 of those outcomes involve at least 1 customer buying a coffee and a bagel. Therefore, the chances that at least 1 customer bought a coffee and a bagel is 27/125.",The chances that at least 1 customer bought a coffee and a bagel is 9/125.,C) 27/125,The chances that at least 1 customer bought a coffee and a bagel is 9/125.,B) 3/7,C) 27/125,C)27/125,D)199/245
46,"There are three solutions to this equation. The first is when x = -5, the second is when x = 1, and the third is when x = 7.","There are four solutions because when you take the absolute value of a number, it is always positive. So |x+3| will always be greater than or equal to |4-x|.","There will be two solutions because when you take the absolute value of a number, it always results in a positive number. Therefore, |8+x| will always be equal to |x+3| - |4-x|.",The equation will have 2 solutions.,This equation will have 3 solutions.,The equation will have 3 solutions.,"This equation will have 2 solutions. When x = -3, |x+3| = 0 and |4-x| = 7, so |8+x| = 7. When x = 5, |x+3| = 8 and |4-x| = 1, so |8+x| = 8.","This equation will have 2 solutions. When x = -3, |x+3| = 0 and |4-x| = 7, so |8+x| = 7. When x = 5, |x+3| = 8 and |4-x| = 1, so |8+x| = 8.","This equation will have 2 solutions. This is because when you take the absolute value of a number, it will always be positive. Therefore, |x+3| will always be 3 more than |x| and |4-x| will always be 4 less than |x|.","C)2 There will be two solutions because when you take the absolute value of a number it becomes positive, so you will have two positive values that equal each other.",A)0
47,C) 30%,The output would have to be decreased by approximately 24%.,The output would have to be decreased by 24% in order to restore the original output.,"The output of a factory was increased by 10% to keep up with rising demand. To handle the holiday rush, this new output was increased by 20%. The new output would be 1.1 * 1.2 = 1.32 times the original output. By approximately what percent would the output now have to be decreased in order to restore the original output? A)20% B)24% C)30% D)32% E)79%

The output would have to be decreased by 1/1.32 = .7576, or about 24% to restore the original output.",A) 20%,"The output of a factory was increased by 10% to keep up with rising demand. To handle the holiday rush, this new output was increased by 20%. The new output would be 130% of the original output. By approximately what percent would the output now have to be decreased in order to restore the original output? A)20% B)24% C)30% D)32% E)79%

The output would have to be decreased by 30% to restore the original output.",C) 30%,The output would have to be decreased by 24% in order to restore the original output.,"The output of a factory was increased by 10% to keep up with rising demand. To handle the holiday rush, this new output was increased by 20%. By approximately what percent would the output now have to be decreased in order to restore the original output? A)20% B)24% C)30% D)32% E)79%

The output of the factory would have to be decreased by 20% in order to restore the original output.",The output would have to be decreased by 24% to restore the original output.,B)24%
48,C) 1/2 because 2/7 of 70 is 35 and 35 is half of 70,"I would choose B) 1/3. 

2/7 of 70% is 20%. 

30% - 20% = 10%. 

10% is 1/3 of 30%.",C)1/2 The fraction of male students who are married is 2/7. The fraction of male students who are single is 1 - 2/7 = 5/7. The fraction of the total student body who are married is 30%. The fraction of the total student body who are male is 70%. The fraction of the total student body who are male and married is 2/7 * 70% = 20%. The fraction of the total student body who are male and single is 5/7 * 70% = 50%. The fraction of the male students who are single is 50% - 20% = 30%.,"The answer is D) 2/3. 

Since 70% of students are male, and 30% of students are married, we can say that 100% of students are either male or married. 

We also know that 2/7 of male students are married. 

Therefore, the remaining 5/7 of male students must be single.","Since 70 percent of the students are male and 30 percent of the students are married, this means that 30 percent of the students are female and that 70 percent of the students are unmarried. If two-sevenths of the male students are married, this means that five-sevenths of the male students are unmarried. Therefore, the fraction of the male students who are unmarried is 5/7.",C) 1/2,C) 1/2,"C) 1/2

70% of students are male, so 30% are female.

70% of students are male, and 30% are female. Two-sevenths of 70% is 20%. Therefore, 20% of the male students are married, and 80% are single.","C)1/2 The fraction of the male students that are married is 2/7. The fraction of the male students that are single is therefore 1 - 2/7 = 5/7. Since there are 70 percent male students, 70/100 = 7/10 of the students are male. The fraction of the male students that are single is therefore 5/7 * 7/10 = 5/7 * 7/10 = 35/70 = 1/2.",The fraction of the male students that are single is 2/7.,E)5/7
49,"f these

The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is B)9000 cm3.

The cost of painting the whole surface area of a cube is given by:

Cost = Surface Area * Rate

Therefore, the surface area of the cube is:

Surface Area = Cost / Rate

Surface Area = 343.98 / 13

Surface Area = 26.46 cm2

Since a cube has 6 faces, and each face is a square, the surface area of a cube can be found by:

Surface Area = 6 * (side length)2

Therefore, the side length of the cube is:

side length = √(Surface Area / 6)

side length = √(26.46 / 6)

side length = 2.5 cm

Therefore, the volume of the cube is:

Volume = (side length)3

Volume = (2.5 cm)3

Volume = 9,000 cm3","f these

The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is D)9261 cm3.

The surface area of a cube is 6*s^2, where s is the length of a side. So, if the cost of painting the cube is Rs. 343.98, that means

6*s^2*13 = 343.98

solving for s, we get

s = 9.261 cm

Therefore, the volume of the cube is s^3, or 9.261^3 cm3, which is 9261 cm3.","f these

The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is D)9261 cm3.

The surface area of a cube is 6 * s^2, where s is the length of one side. The cost of painting the cube is therefore 6 * s^2 * 13 paise. We are given that the cost is Rs. 343.98, so

6 * s^2 * 13 paise = 343.98
s^2 = 9261 cm^3
s = 96.5 cm

Therefore, the cube has a side length of 96.5 cm and a volume of 9261 cm^3.","f these

The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is D)9261 cm3.

The surface area of a cube is 6*s^2, where s is the length of a side.

Therefore, the cost of painting the cube is 6*s^2*13 paise.

We know that 343.98 = 6*s^2*13.

Therefore, s^2 = 9261/78.

Therefore, s = 9.61 cm and the volume of the cube is 9261 cm3.","f these

B)9000 cm3","f these

The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is D)9261 cm3.

The surface area of a cube is 6 * (side^2). In this case, the cost is 6 * (side^2) * (13 paise/Sq.cm), which comes out to Rs. 343.98. To solve for side, we take the square root of both sides, which gives us side = 9.261 cm. Therefore, the volume of the cube is 9261 cm3.","f these

Since the cost of painting the whole surface area of a cube is Rs. 343.98, the volume of the cube is 9261 cm3.","f these

The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is B)9000 cm3","f these

The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is D)9261 cm3.

This is because the surface area of a cube is 6 x (side length)^2. So, if the cost of painting the cube is Rs. 343.98, then:

6 x (side length)^2 = 343.98

side length = 3.2 cm

Therefore, the volume of the cube is 3.2^3 = 9261 cm3.","f these

The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is 9261 cm3.",D)9261 cm3
50,"To lose 20%, the man would need to sell the articles for $48. He would need to sell 24 articles at $2 each.",D) 50 He would need to sell 50 articles at $50 to make a 20% loss,C)40,C)40,B)36,"C)40

The man would need to sell 40 articles for $50 to incur a loss of 20%.","E)48

He would need to sell 48 articles at $50 to incur a loss of 20%.",C)40,"E)48

In order to incur a loss of 20%, the man would need to sell 48 articles for $50.",E)48,A)25
51,The man must invest the money in the ratio 4:5.,"The correct answer is D)4:5. 

The man wants to earn equal dividends from both stocks. To do this, he must invest more money in the 12% stock than in the 9% stock. This is because the 12% stock pays a higher dividend than the 9% stock.",C) 16:15,The man should invest money in the ratio of 2:1 in order to obtain equal dividends from both stocks.,B)2:1,E)None of these,"The correct answer is D)4:5.

The man wants to receive equal dividends from both stocks. Dividends are paid as a percentage of the stock price, so the man will receive more dividends from the 12% stock than from the 9% stock. In order to receive equal dividends from both stocks, he must invest more money in the 9% stock than in the 12% stock. The ratio of money invested in the two stocks is 4:5.","The correct answer is E)None of these. In order to equalize the dividends received from the two stocks, the man would need to invest an amount of money in the 9% stock such that the dividend received from that investment is equal to the dividend received from the 12% stock. However, given the information provided, it is not possible to determine what the amount invested in the 9% stock would need to be in order to equalize the dividends received.","The correct answer is D)4:5. 

The man must invest more money in the 12% stock than in the 9% stock in order to receive equal dividends from both stocks.",The man must invest the money in the ratio of 2:1 in order to obtain equal dividends from both stocks.,C)16:15
52,"C should pay Rs. 55 as his share of rent. This is because he has used the pasture for 3 months, and there are 5 months left in the year. Therefore, C has used 1/5 of the pasture for 3/12 of a year. Since the pasture costs Rs. 175, 1/5 of that cost would be Rs. 35. C has used 1/5 of the pasture for 3/12 of a year, so he should pay 3/12 of Rs. 35, which is Rs. 55.",C should pay Rs.55 as his share of the rent.,C should pay Rs.55 as his share of the rent because he has used the pasture for 3 months with 15 oxen.,"C should pay Rs.55 as his share of the rent. This is because he has used the pasture for 3 months, and there are 7 months in total. Therefore, he has used 1/7 of the pasture. There are 25 oxen in total. Therefore, 1/7 of 25 oxen is 3.57 oxen. C has used 15 oxen, so he has used 15/3.57=4.17 times as much as 1/7 of the pasture. 4.17/7=0.59. 175*0.59=103.25. C should pay Rs.103.25 as his share of the rent.","C should pay Rs.55 as his share of the rent. This is because he has used the pasture for 3 months, and there are 7 months in total. Therefore, he has used 1/7 of the pasture. Since the rent is Rs.175, 1/7 of that would be Rs.25. C has 15 oxen, so his share would be 15/42 of the rent, or Rs.55.",C should pay Rs.55 as his share of the rent. This is because he is using the pasture for 3 months and there are 15 oxen.,C should pay Rs.55 as his share of the rent. This is because he has used the pasture for 3 months and there are 15 oxen.,C should pay Rs.55 as his share of rent because he has the most number of oxen grazing in the pasture for the shortest amount of time.,C must pay Rs. 55 as his share of rent.,C should pay Rs.55 as his share of the rent. This is because he has put the most number of oxen for the least amount of time.,A)Rs. 45
