ID,Body,Question,Equation,Answer,Type
chal-235,Dan has $ 4. He had $ 3 left with him after he bought a candy bar.,How much did the candy bar cost?,( 4.0 - 3.0 ),1,Subtraction
chal-236,Paul got a box of 253 crayons for his birthday. By the end of the school year he had either lost or given away 70 of them.,How many crayons did he have left by the end of the school year?,( 253.0 - 70.0 ),183,Subtraction
chal-237,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 144 chocolate chip cookies and 397 raisin cookies yesterday. And she baked 85 raisin cookies and 403 chocolate chip cookies this morning.,How many raisin cookies did Helen bake?,( 397.0 + 85.0 ),482,Addition
chal-238,Rachel picked 2 ripe apples from her tree. Now the tree has 7 apples still on it. If 6 of those are ripe and the rest are unripe,How many ripe apples did the tree have to begin with?,( 2.0 + 6.0 ),8,Addition
chal-239,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute.,How many minutes did the machine work yesterday?,( 9.0 / 3.0 ),3,Common-Division
chal-240,Zachary did 51 push-ups in gym class today. David did 22 more push-ups than Zachary. John did 4 push-ups less than David.,How many push-ups did John do?,( ( 51.0 + 22.0 ) - 4.0 ),69,Subtraction
chal-241,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 519 chocolate chip cookies and 300 raisin cookies yesterday. And she baked 280 raisin cookies and 359 chocolate chip cookies this morning.,How many more raisin cookies did Helen bake yesterday compared to today?,( 300.0 - 280.0 ),20,Subtraction
chal-242,"A grocery store had 81 bottles of regular soda, 60 bottles of diet soda and 60 bottles of lite soda.",How many more bottles of regular soda did they have than diet soda?,( 81.0 - 60.0 ),21,Subtraction
chal-243,Randy has some blocks. He uses 52 blocks to build a tower. If there are 38 blocks left,How many blocks did he have at the start?,( 52.0 + 38.0 ),90,Addition
chal-244,Edward had $ 13. He spent some money. Now he has $ 3.,How much money did Edward spend?,( 13.0 - 3.0 ),10,Subtraction
chal-245,Ed had 19 more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has 8 more marbles than doug.,How many marbles did Ed lose?,( 19.0 - 8.0 ),11,Subtraction
chal-246,They decided to hold the party in their backyard. They have 12 sets of tables and each set has 14 chairs. There are also 6 chairs extra.,How many chairs do they have for the guests?,( ( 12.0 * 14.0 ) + 6.0 ),174,Addition
chal-247,The Ferris wheel in paradise park has 3 small seats and 7 large seats. Each small seat can hold 16 people and large seat can hold 12 people.,How many people can ride the Ferris wheel on large seats?,( 7.0 * 12.0 ),84,Multiplication
chal-248,There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block,How many pieces of junk mail should he give each block?,( 32.0 * 20.0 ),640,Multiplication
chal-249,"A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples.",How many more bottles than apple did they have?,( ( 72.0 + 32.0 ) - 78.0 ),26,Subtraction
chal-250,There are 7 baskets of peaches. Each basket has 10 red peaches and 2 green peaches.,How many green peaches are in the baskets altogether?,( 2.0 * 7.0 ),14,Multiplication
chal-251,Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter.,How many bird families were left near the mountain?,( ( 3.0 - 2.0 ) + 26.0 ),27,Addition
chal-252,Because of the decision Sofia asked the students to suggest specific types of food. If 144 students suggested adding mashed potatoes 467 suggested adding bacon to the menu and 79 suggested adding tomatoes,How many more students suggested mashed potatoes than those that suggested tomatoes?,( 144.0 - 79.0 ),65,Subtraction
chal-253,Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all,How much carpet does she need to cover the floors of all rooms?,( ( 19.0 * 18.0 ) * 20.0 ),6840,Multiplication
chal-254,Rachel had to complete 10 pages of math homework. If she had to complete 3 more pages of reading homework than math homework,How many pages did she have to complete in all?,( ( 10.0 + 10.0 ) + 3.0 ),23,Addition
chal-255,In a school there are 700 girls and the rest are boys. If there are 142 more boys than girls,How many pupils are there in that school?,( ( 700.0 + 700.0 ) + 142.0 ),1542,Addition
chal-256,A waiter had 14 customers. 5 customers left.,How many customers does he still have?,( 14.0 - 5.0 ),9,Subtraction
chal-257,Lucy went to the grocery store. She bought 2 packs of cookie and 12 packs of cake. In the end she had 56 amount of change remaining.,How many packs of groceries did she buy in all?,( 2.0 + 12.0 ),14,Addition
chal-258,Mary is baking a cake. The recipe calls for 11 cups of sugar and 9 cups of flour. She already put in 12 cups of flour and 10 cups of sugar.,How many more cups of sugar does she need to add?,( 11.0 - 10.0 ),1,Subtraction
chal-259,Marco and his dad went strawberry picking. His strawberries weighed 8 pounds while his dad's strawberries weighed 32 pounds.,Together how much did their strawberries weigh?,( 8.0 + 32.0 ),40,Addition
chal-260,Kelly gives away 91 nintendo games.,How many did she have initially if she still has 92 games left?,( 91.0 + 92.0 ),183,Addition
chal-261,The Razorback t-shirt shop makes $ 106 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 242 t-shirts. If they sold 115 t-shirts during the Arkansas game,How many t-shirts did they sell during the Texas tech game?,( 242.0 - 115.0 ),127,Subtraction
chal-262,The Razorback t-shirt shop makes $ 23 dollars off each t-shirt sold. During the Arkansas and Texas tech game they made $ 230 by selling t-shirts.,How many t-shirts did they sell?,( 230.0 / 23.0 ),10,Common-Division
chal-263,Randy has 90 blocks. He uses 89 blocks to build a house and 63 blocks to build a tower.,How many more blocks did he use to build the house than he did to build the tower?,( 89.0 - 63.0 ),26,Subtraction
chal-264,Allan brought 2 balloons and Jake brought 3 balloons to the park.,How many more balloons did Jake have than Allan in the park?,( 3.0 - 2.0 ),1,Subtraction
chal-265,"Every day Ryan spends 7 hours on learning english, 2 hours on learning chinese and 4 hours on learning spanish.",How many more hours does he spend on learning english than he does on learning spanish?,( 7.0 - 4.0 ),3,Subtraction
chal-266,Robin has 43 packages of gum. There are 23 pieces in each package. Robin has 8 extra pieces of gum.,How many pieces of gum does Robin have?,( ( 43.0 * 23.0 ) + 8.0 ),997,Addition
chal-267,Paul had 108 books. After selling some books in a garage sale and giving 35 books to his friend he had 62 books left.,How many books did he sell in the garage sale?,( ( 108.0 - 35.0 ) - 62.0 ),11,Subtraction
chal-268,For the walls of the house he would use 12 large planks of wood and 17 small planks. If each large plank of wood needs 14 pieces of nails to be secured and each small plank needs 25 nails.,How many planks does John need for the house wall?,( 12.0 + 17.0 ),29,Addition
chal-269,Melissa played 3 games and scored a total of 81 points scoring the same for each game.,How many points did she score in each game?,( 81.0 / 3.0 ),27,Common-Division
chal-270,Nell collects cards. She had 246 baseball cards and 214 Ace cards. She gave some of her cards to Jeff and now has 404 baseball cards and 495 Ace cards left.,How many more Ace cards than baseball cards does Nell have?,( 495.0 - 404.0 ),91,Subtraction
chal-271,Jerry had 8 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed 5 old ones.,How many action figures were on his shelf in all?,( ( 8.0 + 4.0 ) - 5.0 ),7,Subtraction
chal-272,Paige was helping her mom plant flowers and together they planted 45 seeds in 9 flowerbeds. If they put same number of seeds in each flower bed,How many seeds did they plant in each flowerbed?,( 45.0 / 9.0 ),5,Common-Division
chal-273,A mailman has to give 4 pieces of junk mail to each house in each of the 81 blocks. If there are 12 houses in each block,How many pieces of junk mail should he give in each block?,( 4.0 * 12.0 ),48,Multiplication
chal-274,The ring toss game at the carnival made 325 dollars in the first 154 days and 114 dollars in the remaining 57 days.,How much did they make per day in the remaining 57 days at the carnival?,( 114.0 / 57.0 ),2,Common-Division
chal-275,Brenda's mother made cookies for 10 guests but 9 guests did not come. If she prepared 18 cookies and each guest had the same number of cookies,How many did each of them have?,( 18.0 / ( 10.0 - 9.0 ) ),18,Common-Division
chal-276,Mary is baking a cake. The recipe calls for 9 cups of sugar 7 cups of flour and 4 cups of salt. She already put in 2 cups of flour.,How many more cups of flour than cups of salt does she need to add now?,( ( 7.0 - 2.0 ) - 4.0 ),1,Subtraction
chal-277,Baker made some cakes. He sold 145 of them. If he still has 72 cakes left,How many cakes did baker make?,( 145.0 + 72.0 ),217,Addition
chal-278,Jesse needs a carpet of size 10 square feet to cover her room. If her room is 2 feet wide,What is the length of her room?,( 10.0 / 2.0 ),5,Common-Division
chal-279,There are some bananas in Philip's banana collection. If the bananas are organized into 140 groups of size 187,How many bananas does he have in his collection?,( 140.0 * 187.0 ),26180,Multiplication
chal-280,Rebecca wants to split a collection of eggs into groups of 6. Rebecca has 18 eggs 72 bananas and 66 marbles.,How many groups will be created?,( 18.0 / 6.0 ),3,Common-Division
chal-281,Jessie currently weighs 9 kilograms. After she started to go jogging everyday she lost 62 kilograms in the first week and 140 kilograms in the second week.,How much did she weigh before starting to jog?,( ( 9.0 + 62.0 ) + 140.0 ),211,Addition
chal-282,The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school,How many buses are needed to take the trip?,( 111.0 / 3.0 ),37,Common-Division
chal-283,13 campers went rowing and 59 campers went hiking in the morning. 21 campers went rowing in the afternoon.,How many campers went rowing in all?,( 13.0 + 21.0 ),34,Addition
chal-284,Jerry had 9 action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If he also has 10 books on the shelf,How many more action figures than books were on his shelf?,( ( 9.0 + 7.0 ) - 10.0 ),6,Subtraction
chal-285,Josh had 22 marbles in his collection. He found 13 marbles ones while he lost 5 marbles.,How many marbles does he have now?,( ( 22.0 - 5.0 ) + 13.0 ),30,Addition
chal-286,For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails.,How many nails does John need for the house wall?,( 15.0 + 5.0 ),20,Addition
chal-287,Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons.,How many more crayons did he give to his friends than those he lost?,( 571.0 - 161.0 ),410,Subtraction
chal-288,"Jack received 9 emails in the morning, 10 emails in the afternoon and 7 emails in the evening.",How many more emails did Jack receive in the morning than in the evening?,( 9.0 - 7.0 ),2,Subtraction
chal-289,Jack received 6 emails in the morning and 8 emails in the afternoon.,How many more emails did Jack receive in the afternoon than in the morning?,( 8.0 - 6.0 ),2,Subtraction
chal-290,"After eating a hearty meal they went to see the Buckingham palace. There were 71 paintings in the Buckingham palace. There, Rachel learned that 557 visitors came to the Buckingham palace that day. If there were 188 visitors the previous day",How many visited the Buckingham palace within 57 days?,( 557.0 + 188.0 ),745,Addition
chal-291,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning.,How many more chocolate chip cookies did Helen bake yesterday compared to today?,( 197.0 - 66.0 ),131,Subtraction
chal-292,Jake has 18 fewer peaches than Steven who has 13 more peaches than Jill. Steven has 19 peaches.,How many peaches does Jill have?,( 19.0 - 13.0 ),6,Subtraction
chal-293,Lucy went to the grocery store. She bought 23 packs of cookie and some packs of cake. In total she had 27 packs of grocery,How many packs of cake did she buy in all?,( 27.0 - 23.0 ),4,Subtraction
chal-294,Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish.,How many more hours does he spend on learning english than he does on learning chinese?,( 6.0 - 3.0 ),3,Subtraction
chal-295,A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long.,How many more pages does the first chapter have than the second chapter?,( 48.0 - 11.0 ),37,Subtraction
chal-296,"6 green peaches, 60 yellow peaches and 2 red peaches are in the basket.",How many more green peaches than red peaches are in the basket?,( 6.0 - 2.0 ),4,Subtraction
chal-297,Debby drinks 6 bottles a day. If she bought a total of 12 water bottles,How many days would they last her?,( 12.0 / 6.0 ),2,Common-Division
chal-298,There were 22 parents in the program and 676 people in total.,How many pupils were present in the program?,( 676.0 - 22.0 ),654,Subtraction
chal-299,"Julia played tag with 17 kids on monday, 15 kids on tuesday and 2 kids on wednesday.",How many kids did she play with altogether?,( ( 17.0 + 15.0 ) + 2.0 ),34,Addition
chal-300,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 18 inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog.",How far did the mouse jump?,( ( 25.0 + 18.0 ) + 2.0 ),45,Addition
chal-301,Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 49 g of colors to paint them. If the feathers require 288 g of wax and right now he just needs 260 g,How many grams of wax does he already have?,( 288.0 - 260.0 ),28,Subtraction
chal-302,Mary is baking a cake. The recipe calls for 14 cups of flour and 6 cups of sugar. She already put in 5 cups of flour.,How many more cups of flour than cups of sugar does she need to add now?,( ( 14.0 - 5.0 ) - 6.0 ),3,Subtraction
chal-303,Jake has 13 more apples and 17 fewer peaches than Steven. Steven has 8 peaches and 12 apples.,How many apples does Jake have?,( 13.0 + 12.0 ),25,Addition
chal-304,Jake has 12 fewer peaches than Steven who has 11 more peaches than Jill. Steven has 4 peaches.,How many more peaches does Jill have than Jake?,( 12.0 - 11.0 ),1,Subtraction
chal-305,Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work.,How much money do they have together now?,( 5.0 + 9.0 ),14,Addition
chal-306,Jake has 12 fewer peaches and 79 more apples than Steven. Steven has 19 peaches and 14 apples.,How many peaches does Jake have?,( 19.0 - 12.0 ),7,Subtraction
chal-307,There are 10 different books and 6 different movies in the ' crazy silly school ' series. If you read 14 of the movies and watched 19 of the books,How many more books than movies have you read?,( 19.0 - 14.0 ),5,Subtraction
chal-308,Debby bought 301 water bottles when they were on sale. If she drank 144 bottles a day for some days. If she has 157 bottles left,How many days did she drink for?,( ( 301.0 - 157.0 ) / 144.0 ),1,Common-Division
chal-309,He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it.,How many saltwater animals does Tyler have?,( 56.0 * 39.0 ),2184,Multiplication
chal-310,Tiffany was collecting cans for recycling. On monday she had 10 bags of cans. She found 3 bags of cans on the next day and 7 bags of cans the day after that.,How many bags did she have altogether?,( ( 10.0 + 3.0 ) + 7.0 ),20,Addition
chal-311,The grasshopper and the frog had a jumping contest. The grasshopper jumped 31 inches and the frog jumped 35 inches.,How much did they jump altogether?,( 31.0 + 35.0 ),66,Addition
chal-312,There were 100 dollars in Olivia's wallet. She collected 148 more dollars from an atm. After she visited a supermarket there were 159 dollars left.,How much did she spend?,( ( 100.0 + 148.0 ) - 159.0 ),89,Subtraction
chal-313,A waiter had 11 customers. After some left he still had 3 customers.,How many more customers left than those that stayed behind?,( ( 11.0 - 3.0 ) - 3.0 ),5,Subtraction
chal-314,Katie had 81 ds games and her friends had 59 games.,How many more games does Katie have than her friends?,( 81.0 - 59.0 ),22,Subtraction
chal-315,Frank put some pieces of candy equally into 2 bags. If he had 16 pieces of candy,How many pieces of candy are in each bag?,( 16.0 / 2.0 ),8,Common-Division
chal-316,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 266 of the pickers that they fill 90 drums of grapes in 5 days.",How many drums of grapes would be filled in each day?,( 90.0 / 5.0 ),18,Common-Division
chal-317,Julia played tag with 5 kids on tuesday. She had played tag with 6 kids on monday.,How many more kids did she play with on monday than on tuesday?,( 6.0 - 5.0 ),1,Subtraction
chal-318,Julia played tag with a total of 18 kids. She played with 4 kids on monday and yet with some more kids on tuesday.,How many kids did she play with on tuesday?,( 18.0 - 4.0 ),14,Subtraction
chal-319,Jerry had 3 books and 4 action figures on a shelf in his room. Later he added 2 more action figures to the shelf.,How many more action figures than books were on his shelf?,( ( 4.0 + 2.0 ) - 3.0 ),3,Subtraction
chal-320,There are 6 houses on a block. If a mailman has to give 24 pieces of junk mail to each block,How many pieces of junk mail should he give in each house?,( 24.0 / 6.0 ),4,Common-Division
chal-321,Dave had 19 apps and 18 files on his phone. After deleting some apps and files he had 6 apps and 15 files left.,How many more files than apps does he have left on the phone?,( 15.0 - 6.0 ),9,Subtraction
chal-322,Baker made 99 cakes. He bought 167 new cakes and sold 89 cakes.,How many more cakes did baker buy than those he sold?,( 167.0 - 89.0 ),78,Subtraction
chal-323,3 birds and 4 storks were sitting on the fence. 6 more storks came to join them.,How many birds and storks are sitting on the fence?,( ( 3.0 + 4.0 ) + 6.0 ),13,Addition
chal-324,David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary.,How many push-ups did Zachary do?,( 44.0 - 9.0 ),35,Subtraction
chal-325,Edward spent $ 6 to buy books and $ 16 to buy pens. Now he has $ 19.,How much did Edward have before he spent his money?,( ( 6.0 + 16.0 ) + 19.0 ),41,Addition
chal-326,Bryan took a look at his books as well. Each bookshelf contains 2 books. If he has a total of 38 books,How many bookshelves does he have?,( 38.0 / 2.0 ),19,Common-Division
chal-327,There were 7 roses in the vase. Jessica cut some more roses from her flower garden which had a total of 59 roses. There are now 20 roses in the vase.,How many roses did she cut?,( 20.0 - 7.0 ),13,Subtraction
chal-328,Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia game,How many rounds did he play?,( 78.0 / 3.0 ),26,Common-Division
chal-329,Baker made 13 cakes. He sold 91 of them and bought 154 new cakes.,How many more cakes did baker buy than those he sold?,( 154.0 - 91.0 ),63,Subtraction
chal-330,He then went to see the oranges being harvested. He found out that they harvest 71 sacks of unripe oranges and 60 sacks of ripe oranges per day.,How many more sacks of unripe oranges than ripe oranges are harvested per day?,( 71.0 - 60.0 ),11,Subtraction
chal-331,"At the zoo, a cage had snakes and alligators. The total number of animals in the cage was 79. If 24 snakes and 51 alligators were hiding",How many animals were not hiding in all?,( ( 79.0 - 24.0 ) - 51.0 ),4,Subtraction
chal-332,Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now,How many bottle caps did he find at the park?,( 53.0 - 21.0 ),32,Subtraction
chal-333,Frank was reading through his favorite book. The book had 2 chapters each with 405 pages. It took frank 664 days to finish the book.,How many chapters did he read per day?,( 664.0 / 2.0 ),332,Common-Division
chal-334,There were 2 roses in the vase. Jessica threw away 4 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 23 roses in the vase.,How many roses did she cut?,( ( 23.0 + 4.0 ) - 2.0 ),25,Subtraction
chal-335,"Rachel had to complete 5 pages of math homework, 10 pages of reading homework and 6 more pages of biology homework.",How many pages of reading and biology homework did she have to complete?,( 10.0 + 6.0 ),16,Addition
chal-336,Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf.,How many more action figures than books were on his shelf?,( 7.0 - ( 2.0 + 4.0 ) ),1,Subtraction
chal-337,In a school there are 34 girls and 841 boys.,How many more boys than girls does the school have?,( 841.0 - 34.0 ),807,Subtraction
chal-338,Bobby ate some pieces of candy. Then he ate 25 more. If he ate a total of 43 pieces of candy,How many pieces of candy had he eaten at the start?,( 43.0 - 25.0 ),18,Subtraction
chal-339,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day.,How many days will it take to harvest 24 sacks of oranges?,( 24.0 / 8.0 ),3,Common-Division
chal-340,53 campers went rowing in the morning 48 campers went rowing in the afternoon and 49 campers went rowing in the evening.,How many more campers went rowing in the morning than in the evening?,( 53.0 - 49.0 ),4,Subtraction
chal-341,"Jack received 3 emails in the afternoon, 5 emails in the morning and 16 emails in the evening.",How many more emails did Jack receive in the morning than in the afternoon?,( 5.0 - 3.0 ),2,Subtraction
chal-342,Dan has $ 3. For a total of $ 4 he bought 2 candy bar each one costing the same amount of money.,How much did each candy bar cost?,( 4.0 / 2.0 ),2,Common-Division
chal-343,Rachel had to complete 3 pages of math homework and 4 pages of reading homework.,How many more pages of reading homework than math homework did she have?,( 4.0 - 3.0 ),1,Subtraction
chal-344,A book has 2 chapters. The first chapter is 37 pages long. The second chapter is 80 pages long.,How many more pages does the second chapter have than the first chapter?,( 80.0 - 37.0 ),43,Subtraction
chal-345,There are 8 different movies and 21 different books in the ' crazy silly school ' series. If you read 7 of the books and watched 4 of the movies,How many more movies do you still have to watch?,( 8.0 - 4.0 ),4,Subtraction
chal-346,Haley grew some trees in her backyard. After a typhoon 5 died. If 12 trees were left,How many trees did she grow?,( 5.0 + 12.0 ),17,Addition
chal-347,The Razorback shop makes $ 192 dollars off each t-shirt and $ 34 off each jersey. During the Arkansas and Texas tech game they sold 157 t-shirts and 19 jerseys.,How much more does a t-shirt cost than a jersey?,( 192.0 - 34.0 ),158,Subtraction
chal-348,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 527 chocolate chip cookies and 86 raisin cookies yesterday. And she baked 86 raisin cookies and 554 chocolate chip cookies this morning.,How many chocolate chip cookies did Helen bake?,( 527.0 + 554.0 ),1081,Addition
chal-349,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds.,How much did his dad's strawberries weigh now?,( ( 22.0 - 36.0 ) + 30.0 ),16,Addition
chal-350,"3 red peaches, and some more green peaches are in the basket. If there are 10 more green peaches than red peaches in the basket",How many green peaches are in the basket?,( 3.0 + 10.0 ),13,Addition
chal-351,"After a typhoon, 13 trees in Haley's backyard died. If she had grown 3 trees initially",How many more trees died in the typhoon than those that survived?,( 13.0 - ( 3.0 - 13.0 ) ),23,Subtraction
chal-352,Josh had 9 marbles in his collection. He lost some marbles. If he has 4 marbles now,How many marbles did he lose?,( 9.0 - 4.0 ),5,Subtraction
chal-353,They decided to hold the party in their backyard. They have 14 chairs for each set of table. If they have 9 sets of tables,How many more chairs than tables do they have?,( ( 9.0 * 14.0 ) - 9.0 ),117,Subtraction
chal-354,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day.,How many oranges do they harvest per day if each sack contains 28 oranges?,( 66.0 * 28.0 ),1848,Multiplication
chal-355,At the arcade Dave had won some tickets. He used 12 tickets to buy some toys. If he still has 14 tickets left,How many tickets did Dave win at the arcade?,( 12.0 + 14.0 ),26,Addition
chal-356,Adam could fit 10 action figures on each shelf in his room. His room has could hold 8 action figures.,How many total shelves did his room have?,( 8.0 * 10.0 ),80,Multiplication
chal-357,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 24 pounds. On the way back Marco lost 9 pounds of strawberries. Marco's strawberries now weighed 3 pounds.,How much did his dad's strawberries weigh?,( 24.0 - ( 3.0 + 9.0 ) ),12,Subtraction
chal-358,Mary is baking a cake. The recipe calls for 12 cups of flour and 13 cups of sugar. She already put in 2 cups of sugar.,How many more cups of sugar does she need to add?,( 13.0 - 2.0 ),11,Subtraction
chal-359,Winter is almost here and most animals are migrating to warmer countries. There are 38 bird families living near the mountain. If 47 bird families flew away to africa and 94 bird families flew away to asia,How many more bird families flew away to asia than those that flew away to africa?,( 94.0 - 47.0 ),47,Subtraction
chal-360,Jake has 9 fewer peaches than Steven and 18 more peaches than Jill. Steven has 16 peaches.,How many more peaches does Steven have than Jill?,( 9.0 + 18.0 ),27,Addition
chal-361,Zachary did 51 push-ups and David did 44 push-ups in gym class today.,How many more push-ups did Zachary do than David?,( 51.0 - 44.0 ),7,Subtraction
chal-362,16 people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has 4 seats,How many people can each seat hold?,( 16.0 / 4.0 ),4,Common-Division
chal-363,Mary is baking a cake. The recipe calls for 6 cups of flour 8 cups of sugar and 7 cups of salt. She already put in 5 cups of flour.,How many more cups of sugar than cups of salt does she need to add now?,( 8.0 - 7.0 ),1,Subtraction
chal-364,Paige raised 16 goldfish and 71 catfish in the pond but stray cats loved eating them. Now she has 2 left.,How many goldfish disappeared?,( 16.0 - 2.0 ),14,Subtraction
chal-365,Rachel picked 7 ripe apples from her tree. Now the tree has 5 apples still on it. If 3 of those are ripe and the rest are unripe,How many unripe apples does the tree have now?,( 5.0 - 3.0 ),2,Subtraction
chal-366,Zachary did 44 push-ups in gym class today. David did 58 more push-ups than zachary.,How many push-ups did Zachary and David do altogether?,( ( 44.0 + 44.0 ) + 58.0 ),146,Addition
chal-367,If Lewis earns a total of $ 460 during 5 weeks of harvest,How much money does he earn each week?,( 460.0 / 5.0 ),92,Common-Division
chal-368,Because of the decision Sofia asked the students to suggest specific types of food. If 228 students suggested adding mashed potatoes 337 suggested adding bacon to the menu and 23 suggested adding tomatoes,How many more students suggested bacon than those that suggested tomatoes?,( 337.0 - 23.0 ),314,Subtraction
chal-369,Edward spent $ 4 to buy books and $ 3 to buy pens. Now he has $ 12.,How much did Edward spend on books and pens?,( 4.0 + 3.0 ),7,Addition
chal-370,Edward spent $ 17. Then he received $ 10 from his friend. Now he has $ 7.,How much did Edward have before he spent his money?,( ( 17.0 - 10.0 ) + 7.0 ),14,Addition
chal-371,"Julia played tag with 9 kids on monday, 7 kids on tuesday and 96 kids on wednesday.",How many more kids did she play with on monday than on tuesday?,( 9.0 - 7.0 ),2,Subtraction
chal-372,In a school there are 402 more girls than boys. If there are 739 girls,How many boys are there in that school?,( 739.0 - 402.0 ),337,Subtraction
chal-373,For Gwen's birthday she received 2 dollars from her mom. Her dad gave her 4 more dollars. If she spent 3 dollars.,How much money did she still have?,( ( 2.0 + 4.0 ) - 3.0 ),3,Subtraction
chal-374,"6 red peaches, 90 yellow peaches and 16 green peaches are in the basket.",How many red and green peaches are in the basket?,( 6.0 + 16.0 ),22,Addition
chal-375,Randy has 37 blocks. He uses 33 blocks to build a tower and 13 blocks to build a house.,How many more blocks did he use to build the tower than he did to build the house?,( 33.0 - 13.0 ),20,Subtraction
chal-376,The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys.,How much money did they make from selling the jerseys?,( 76.0 * 2.0 ),152,Multiplication
chal-377,Baker made 8 cakes. He bought 139 new cakes and sold 145 cakes.,How many more cakes did baker sell than those he bought?,( 145.0 - 139.0 ),6,Subtraction
chal-378,Jack received 6 emails and 8 letters in the morning. He then received 2 emails and 7 letters in the afternoon.,How many more letters did Jack receive in the morning than in the afternoon?,( 8.0 - 7.0 ),1,Subtraction
chal-379,Jake has 3 fewer peaches and 10 more apples than Steven. Steven has 12 peaches and 15 apples.,How many more apples than peaches does Steven have?,( 15.0 - 12.0 ),3,Subtraction
chal-380,Rachel had to complete 5 pages of math homework and 2 pages of reading homework.,How many more pages of math homework than reading homework did she have?,( 5.0 - 2.0 ),3,Subtraction
chal-381,"Frank was reading through his favorite book. The book had 41 chapters, each with the same number of pages. It has a total of 450 pages. It took Frank 30 days to finish the book.",How many pages did he read per day?,( 450.0 / 30.0 ),15,Common-Division
chal-382,Jesse's room is 19 feet wide and 20 feet long.,How much longer is her room than it is wide?,( 20.0 - 19.0 ),1,Subtraction
chal-383,Frank was reading through some books. Each book had 249 pages and it took Frank 3 days to finish each book.,How many pages did he read per day?,( 249.0 / 3.0 ),83,Common-Division
chal-384,Paul got a box of 601 crayons and 406 erasers for his birthday. At the end of the school year he only had 336 crayons left while not having lost a single eraser.,How many more erasers than crayons did he have left?,( 406.0 - 336.0 ),70,Subtraction
chal-385,The ring toss game at the carnival made 120 dollars in the first 20 days and 66 dollars in the remaining 16 days.,How much did they make per day in the first 20 days at the carnival?,( 120.0 / 20.0 ),6,Common-Division
chal-386,Mary is baking a cake. The recipe calls for 5 cups of sugar and 14 cups of flour. She already put in 11 cups of flour.,How many more cups of sugar than cups of flour does she need to add now?,( 5.0 - ( 14.0 - 11.0 ) ),2,Subtraction
chal-387,Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads.,How many beads did Emily have?,( 26.0 * 2.0 ),52,Multiplication
chal-388,Melissa scored a total of 21 points playing some games. Is she scored 7 points in each game.,How many games did she play?,( 21.0 / 7.0 ),3,Common-Division
chal-389,Adam has 10 apples. Jackie has 2 apples.,How many more apples does Adam have than Jackie?,( 10.0 - 2.0 ),8,Subtraction
