,Question,Equation
221,The Razorback t-shirt shop makes $ w dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of x t-shirts. If they sold y t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the Texas tech game?,( w * ( x - y ) )
222,There are w different movies and x different books in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more books do you still have to read?,( x - y )
223,We ordered some pizzas. Each pizza has w slices. If there were a total of w8 slices How many pizzas did we order?,( x / w )
224,Rebecca wants to split a collection of eggs into groups of w. Rebecca has x bananas y eggs and z marbles. How many groups will be created?,( y / w )
225,w children were riding on the bus. At the bus stop some children got off the bus. Then there were x children left on the bus. How many more children were on the bus before the bus stop than there are now?,( w - x )
226,In Haley's class some boys love to play marbles. Haley gives w marbles to each boy. If she had w8 marbles How many boys did she give the marbles to?,( x / w )
227,Matthew had w crackers and x cakes. If Matthew gave equal numbers of crackers and cakes to his y friends How many crackers and cakes did each person eat?,( ( w + x ) / y )
228,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w cookies yesterday x cookies this morning and y cookies the day before yesterday. How many cookies did Helen bake till last night?,( w + y )
229,For the walls of the house he would use w nails in all to secure large planks of wood. If each plank of wood needs x pieces of nails to be secured How many planks does John need for the house wall?,( w / x )
230,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y bottle caps and z wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,( w - x )
231,He then went to see the oranges being harvested. He found out that they harvest w sacks per day and that each sack containes x oranges. How many oranges do they harvest per day?,( w * x )
232,Edward spent $ w to buy books and $ x to buy pens. Now he has $ y. How much more did Edward spend on books than pens?,( w - x )
233,Emily is making bead necklaces for her friends. Each necklace takes w beads and she has x beads. How many necklaces can Emily make?,( x / w )
234,Dan has $ w. He had $ x left with him after he bought a candy bar. How much did the candy bar cost?,( w - x )
235,Paul got a box of w crayons for his birthday. By the end of the school year he had either lost or given away x of them. How many crayons did he have left by the end of the school year?,( w - x )
236,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w chocolate chip cookies and x raisin cookies yesterday. And she baked y raisin cookies and z chocolate chip cookies this morning. How many raisin cookies did Helen bake?,( x + y )
237,Rachel picked w ripe apples from her tree. Now the tree has x apples still on it. If y of those are ripe and the rest are unripe How many ripe apples did the tree have to begin with?,( w + y )
238,An industrial machine made w shirts yesterday and x shirts today. It can make y shirts a minute. How many minutes did the machine work yesterday?,( w / y )
239,Zachary did w push-ups in gym class today. David did x more push-ups than Zachary. John did y push-ups less than David. How many push-ups did John do?,( ( w + x ) - y )
240,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w chocolate chip cookies and x raisin cookies yesterday. And she baked y raisin cookies and z chocolate chip cookies this morning. How many more raisin cookies did Helen bake yesterday compared to today?,( x - y )
241,"A grocery store had w bottles of regular soda, x bottles of diet soda and x bottles of lite soda. How many more bottles of regular soda did they have than diet soda?",( w - x )
242,Randy has some blocks. He uses w blocks to build a tower. If there are x blocks left How many blocks did he have at the start?,( w + x )
243,Edward had $ w. He spent some money. Now he has $ x. How much money did Edward spend?,( w - x )
244,Ed had w more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has x more marbles than doug. How many marbles did Ed lose?,( w - x )
245,They decided to hold the party in their backyard. They have w sets of tables and each set has x chairs. There are also y chairs extra. How many chairs do they have for the guests?,( ( w * x ) + y )
246,The Ferris wheel in paradise park has w small seats and x large seats. Each small seat can hold y people and large seat can hold z people. How many people can ride the Ferris wheel on large seats?,( x * z )
247,There are w houses in a block. If a mailman has to give x pieces of junk mail to each house in each block How many pieces of junk mail should he give each block?,( x * w )
248,"A grocery store had w bottles of regular soda, x bottles of diet soda and y apples. How many more bottles than apple did they have?",( ( w + x ) - y )
249,There are w baskets of peaches. Each basket has x red peaches and 2 green peaches. How many green peaches are in the baskets altogether?,( y * w )
250,Winter is almost here and most animals are migrating to warmer countries. There are w bird families living near the mountain. x new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,( ( w - y ) + x )
251,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes x suggested adding bacon to the menu and y suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested tomatoes?,( w - y )
252,Jesse's rooms are w feet long and x feet wide. If she has y rooms in all How much carpet does she need to cover the floors of all rooms?,( ( w * x ) * y )
253,Rachel had to complete w pages of math homework. If she had to complete x more pages of reading homework than math homework How many pages did she have to complete in all?,( ( w + <w) + x )
254,In a school there are w girls and the rest are boys. If there are x more boys than girls How many pupils are there in that school?,( ( w + <w) + x )
255,A waiter had w customers. x customers left. How many customers does he still have?,( w - x )
256,Lucy went to the grocery store. She bought w packs of cookie and x packs of cake. In the end she had y amount of change remaining. How many packs of groceries did she buy in all?,( w + x )
257,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in y cups of flour and z cups of sugar. How many more cups of sugar does she need to add?,( w - z )
258,Marco and his dad went strawberry picking. His strawberries weighed w pounds while his dad's strawberries weighed x pounds. Together how much did their strawberries weigh?,( w + x )
259,Kelly gives away w nintendo games. How many did she have initially if she still has x games left?,( w + x )
260,The Razorback t-shirt shop makes $ w dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of x t-shirts. If they sold y t-shirts during the Arkansas game How many t-shirts did they sell during the Texas tech game?,( x - y )
261,The Razorback t-shirt shop makes $ w dollars off each t-shirt sold. During the Arkansas and Texas tech game they made $ w0 by selling t-shirts. How many t-shirts did they sell?,( x / w )
262,Randy has w blocks. He uses x blocks to build a house and y blocks to build a tower. How many more blocks did he use to build the house than he did to build the tower?,( x - y )
263,Allan brought w balloons and Jake brought x balloons to the park. How many more balloons did Jake have than Allan in the park?,( x - w )
264,"Every day Ryan spends w hours on learning english, x hours on learning chinese and y hours on learning spanish. How many more hours does he spend on learning english than he does on learning spanish?",( w - y )
265,Robin has w packages of gum. There are x pieces in each package. Robin has y extra pieces of gum. How many pieces of gum does Robin have?,( ( w * x ) + y )
266,Paul had w books. After selling some books in a garage sale and giving x books to his friend he had y books left. How many books did he sell in the garage sale?,( ( w - x ) - y )
267,For the walls of the house he would use w large planks of wood and x small planks. If each large plank of wood needs y pieces of nails to be secured and each small plank needs z nails. How many planks does John need for the house wall?,( w + x )
268,Melissa played w games and scored a total of x points scoring the same for each game. How many points did she score in each game?,( x / w )
269,Nell collects cards. She had w baseball cards and x Ace cards. She gave some of her cards to Jeff and now has y baseball cards and z Ace cards left. How many more Ace cards than baseball cards does Nell have?,( z - y )
270,Jerry had w action figures on a shelf in his room. Later he added x more action figures to the shelf and removed y old ones. How many action figures were on his shelf in all?,( ( w + x ) - y )
271,Paige was helping her mom plant flowers and together they planted w seeds in x flowerbeds. If they put same number of seeds in each flower bed How many seeds did they plant in each flowerbed?,( w / x )
272,A mailman has to give w pieces of junk mail to each house in each of the x blocks. If there are y houses in each block How many pieces of junk mail should he give in each block?,( w * y )
273,The ring toss game at the carnival made w dollars in the first x days and y dollars in the remaining z days. How much did they make per day in the remaining z days at the carnival?,( y / z )
274,Brenda's mother made cookies for w guests but x guests did not come. If she prepared y cookies and each guest had the same number of cookies How many did each of them have?,( y / ( w - x ) )
275,Mary is baking a cake. The recipe calls for w cups of sugar x cups of flour and y cups of salt. She already put in 2 cups of flour. How many more cups of flour than cups of salt does she need to add now?,( ( x - z ) - y )
276,Baker made some cakes. He sold w of them. If he still has x cakes left How many cakes did baker make?,( w + x )
277,Jesse needs a carpet of size w square feet to cover her room. If her room is x feet wide What is the length of her room?,( w / x )
278,There are some bananas in Philip's banana collection. If the bananas are organized into w groups of size x How many bananas does he have in his collection?,( w * x )
279,Rebecca wants to split a collection of eggs into groups of w. Rebecca has x eggs y bananas and w marbles. How many groups will be created?,( x / w )
280,Jessie currently weighs w kilograms. After she started to go jogging everyday she lost x kilograms in the first week and y kilograms in the second week. How much did she weigh before starting to jog?,( ( w + x ) + y )
281,The school is planning a field trip. The school has w classrooms. There are x seats on each school bus. If there are a total of y students in the school How many buses are needed to take the trip?,( y / x )
282,w campers went rowing and x campers went hiking in the morning. y campers went rowing in the afternoon. How many campers went rowing in all?,( w + y )
283,Jerry had w action figures on a shelf in his room. Later he added x more action figures to the shelf. If he also has y books on the shelf How many more action figures than books were on his shelf?,( ( w + x ) - y )
284,Josh had w marbles in his collection. He found x marbles ones while he lost y marbles. How many marbles does he have now?,( ( w - y ) + x )
285,For the walls of the house he would use w large planks of wood and x small planks. If large planks together need y pieces of nails to be secured and small planks together need z nails. How many nails does John need for the house wall?,( y + z )
286,Paul got a box of w crayons for his birthday. During the school year he gave x crayons to his friends while he lost y crayons. How many more crayons did he give to his friends than those he lost?,( x - y )
287,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many more emails did Jack receive in the morning than in the evening?",( w - y )
288,Jack received w emails in the morning and x emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning?,( x - w )
289,"After eating a hearty meal they went to see the Buckingham palace. There were w paintings in the Buckingham palace. There, Rachel learned that x visitors came to the Buckingham palace that day. If there were y visitors the previous day How many visited the Buckingham palace within z days?",( x + y )
290,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w chocolate chip cookies and x raisin cookies yesterday. And she baked y raisin cookies and z chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today?,( w - z )
291,Jake has w fewer peaches than Steven who has x more peaches than Jill. Steven has y peaches. How many peaches does Jill have?,( y - x )
292,Lucy went to the grocery store. She bought w packs of cookie and some packs of cake. In total she had x packs of grocery How many packs of cake did she buy in all?,( x - w )
293,Every day Ryan spends w hours on learning english x hours on learning chinese and y hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese?,( w - x )
294,A book has w chapters. The first chapter is x pages long. The second chapter is y pages long. How many more pages does the first chapter have than the second chapter?,( x - y )
295,"w green peaches, w0 yellow peaches and y red peaches are in the basket. How many more green peaches than red peaches are in the basket?",( w - y )
296,Debby drinks w bottles a day. If she bought a total of x water bottles How many days would they last her?,( x / w )
297,There were w parents in the program and x people in total. How many pupils were present in the program?,( x - w )
298,"Julia played tag with w kids on monday, x kids on tuesday and 2 kids on wednesday. How many kids did she play with altogether?",( ( w + x ) + y )
299,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The frog jumped x inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. How far did the mouse jump?",( ( w + x ) + y )
300,Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of w g of colors to paint them. If the feathers require x g of wax and right now he just needs y g How many grams of wax does he already have?,( x - y )
301,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in y cups of flour. How many more cups of flour than cups of sugar does she need to add now?,( ( w - y ) - x )
302,Jake has w more apples and x fewer peaches than Steven. Steven has y peaches and z apples. How many apples does Jake have?,( w + z )
303,Jake has w fewer peaches than Steven who has x more peaches than Jill. Steven has y peaches. How many more peaches does Jill have than Jake?,( w - x )
304,Last week Fred had w dollars and Jason had x dollars. Fred washed cars over the weekend and now has y dollars and Jason did not work. How much money do they have together now?,( x + y )
305,Jake has w fewer peaches and x more apples than Steven. Steven has y peaches and z apples. How many peaches does Jake have?,( y - w )
306,There are w different books and x different movies in the ' crazy silly school ' series. If you read y of the movies and watched z of the books How many more books than movies have you read?,( z - y )
307,Debby bought w water bottles when they were on sale. If she drank x bottles a day for some days. If she has y bottles left How many days did she drink for?,( ( w - y ) / x )
308,He also had w aquariums for saltwater animals and x aquariums for freshwater animals. Each aquarium has y animals in it. How many saltwater animals does Tyler have?,( w * y )
309,Tiffany was collecting cans for recycling. On monday she had w bags of cans. She found x bags of cans on the next day and y bags of cans the day after that. How many bags did she have altogether?,( ( w + x ) + y )
310,The grasshopper and the frog had a jumping contest. The grasshopper jumped w inches and the frog jumped x inches. How much did they jump altogether?,( w + x )
311,There were w dollars in Olivia's wallet. She collected x more dollars from an atm. After she visited a supermarket there were y dollars left. How much did she spend?,( ( w + x ) - y )
312,A waiter had w customers. After some left he still had x customers. How many more customers left than those that stayed behind?,( ( w - x ) - <x)
313,Katie had w ds games and her friends had x games. How many more games does Katie have than her friends?,( w - x )
314,Frank put some pieces of candy equally into w bags. If he had x pieces of candy How many pieces of candy are in each bag?,( x / w )
315,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by w of the pickers that they fill x drums of grapes in y days. How many drums of grapes would be filled in each day?",( x / y )
316,Julia played tag with w kids on tuesday. She had played tag with x kids on monday. How many more kids did she play with on monday than on tuesday?,( x - w )
317,Julia played tag with a total of w kids. She played with x kids on monday and yet with some more kids on tuesday. How many kids did she play with on tuesday?,( w - x )
318,Jerry had w books and x action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more action figures than books were on his shelf?,( ( x + y ) - w )
319,There are w houses on a block. If a mailman has to give x pieces of junk mail to each block How many pieces of junk mail should he give in each house?,( x / w )
320,Dave had w apps and x files on his phone. After deleting some apps and files he had y apps and z files left. How many more files than apps does he have left on the phone?,( z - y )
321,Baker made w cakes. He bought x new cakes and sold y cakes. How many more cakes did baker buy than those he sold?,( x - y )
322,w birds and x storks were sitting on the fence. y more storks came to join them. How many birds and storks are sitting on the fence?,( ( w + x ) + y )
323,David did w push-ups in gym class today. David did x more push-ups than Zachary. How many push-ups did Zachary do?,( w - x )
324,Edward spent $ w to buy books and $ x to buy pens. Now he has $ y. How much did Edward have before he spent his money?,( ( w + x ) + y )
325,Bryan took a look at his books as well. Each bookshelf contains w books. If he has a total of x books How many bookshelves does he have?,( x / w )
326,There were w roses in the vase. Jessica cut some more roses from her flower garden which had a total of x roses. There are now y roses in the vase. How many roses did she cut?,( y - w )
327,Luke played a trivia game and gained w points in each round of a game. If he scored x points in the trivia game How many rounds did he play?,( x / w )
328,Baker made w cakes. He sold x of them and bought y new cakes. How many more cakes did baker buy than those he sold?,( y - x )
329,He then went to see the oranges being harvested. He found out that they harvest w sacks of unripe oranges and x sacks of ripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,( w - x )
330,"At the zoo, a cage had snakes and alligators. The total number of animals in the cage was w. If x snakes and y alligators were hiding How many animals were not hiding in all?",( ( w - x ) - y )
331,Danny has w bottle caps in his collection. He found some more bottle caps at the park. If he has x bottle caps now How many bottle caps did he find at the park?,( x - w )
332,Frank was reading through his favorite book. The book had w chapters each with x pages. It took frank y days to finish the book. How many chapters did he read per day?,( y / w )
333,There were w roses in the vase. Jessica threw away x roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now w3 roses in the vase. How many roses did she cut?,( ( y + x ) - w )
334,"Rachel had to complete w pages of math homework, x pages of reading homework and y more pages of biology homework. How many pages of reading and biology homework did she have to complete?",( x + y )
335,Jerry had w action figures and x books on a shelf in his room. Later he added y more books to the shelf. How many more action figures than books were on his shelf?,( w - ( x + y ) )
336,In a school there are w girls and x boys. How many more boys than girls does the school have?,( x - w )
337,Bobby ate some pieces of candy. Then he ate w more. If he ate a total of x pieces of candy How many pieces of candy had he eaten at the start?,( x - w )
338,He then went to see the oranges being harvested. He found out that they harvest w sacks per day. How many days will it take to harvest x sacks of oranges?,( x / w )
339,w campers went rowing in the morning x campers went rowing in the afternoon and y campers went rowing in the evening. How many more campers went rowing in the morning than in the evening?,( w - y )
340,"Jack received w emails in the afternoon, x emails in the morning and y emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?",( x - w )
341,Dan has $ w. For a total of $ x he bought 2 candy bar each one costing the same amount of money. How much did each candy bar cost?,( x / y )
342,Rachel had to complete w pages of math homework and x pages of reading homework. How many more pages of reading homework than math homework did she have?,( x - w )
343,A book has w chapters. The first chapter is x pages long. The second chapter is y pages long. How many more pages does the second chapter have than the first chapter?,( y - x )
344,There are w different movies and x different books in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more movies do you still have to watch?,( w - z )
345,Haley grew some trees in her backyard. After a typhoon w died. If x trees were left How many trees did she grow?,( w + x )
346,The Razorback shop makes $ w dollars off each t-shirt and $ x off each jersey. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much more does a t-shirt cost than a jersey?,( w - x )
347,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w chocolate chip cookies and x raisin cookies yesterday. And she baked x raisin cookies and z chocolate chip cookies this morning. How many chocolate chip cookies did Helen bake?,( w + z )
348,Marco and his dad went strawberry picking. Together they collected strawberries that weighed w pounds. On the way back Marco ' dad found x more pounds of strawberries. Marco's strawberries now weighed y pounds. How much did his dad's strawberries weigh now?,( ( w - y ) + x )
349,"w red peaches, and some more green peaches are in the basket. If there are x more green peaches than red peaches in the basket How many green peaches are in the basket?",( w + x )
350,"After a typhoon, w trees in Haley's backyard died. If she had grown x trees initially How many more trees died in the typhoon than those that survived?",( w - ( x - <w) )
351,Josh had w marbles in his collection. He lost some marbles. If he has x marbles now How many marbles did he lose?,( w - x )
352,They decided to hold the party in their backyard. They have w chairs for each set of table. If they have x sets of tables How many more chairs than tables do they have?,( ( x * w ) - <x)
353,He then went to see the oranges being harvested. He found out that they harvest w sacks per day. How many oranges do they harvest per day if each sack contains x oranges?,( w * x )
354,At the arcade Dave had won some tickets. He used w tickets to buy some toys. If he still has x tickets left How many tickets did Dave win at the arcade?,( w + x )
355,Adam could fit w action figures on each shelf in his room. His room has could hold x action figures. How many total shelves did his room have?,( x * w )
356,Marco and his dad went strawberry picking. Together they collected strawberries that weighed w pounds. On the way back Marco lost x pounds of strawberries. Marco's strawberries now weighed y pounds. How much did his dad's strawberries weigh?,( w - ( y + x ) )
357,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in 2 cups of sugar. How many more cups of sugar does she need to add?,( x - y )
358,Winter is almost here and most animals are migrating to warmer countries. There are w bird families living near the mountain. If x bird families flew away to africa and y bird families flew away to asia How many more bird families flew away to asia than those that flew away to africa?,( y - x )
359,Jake has w fewer peaches than Steven and x more peaches than Jill. Steven has y peaches. How many more peaches does Steven have than Jill?,( w + x )
360,Zachary did w push-ups and David did x push-ups in gym class today. How many more push-ups did Zachary do than David?,( w - x )
361,w people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has x seats How many people can each seat hold?,( w / x )
362,Mary is baking a cake. The recipe calls for w cups of flour x cups of sugar and y cups of salt. She already put in z cups of flour. How many more cups of sugar than cups of salt does she need to add now?,( x - y )
363,Paige raised w goldfish and x catfish in the pond but stray cats loved eating them. Now she has 2 left. How many goldfish disappeared?,( w - y )
364,Rachel picked w ripe apples from her tree. Now the tree has x apples still on it. If y of those are ripe and the rest are unripe How many unripe apples does the tree have now?,( x - y )
365,Zachary did w push-ups in gym class today. David did x more push-ups than zachary. How many push-ups did Zachary and David do altogether?,( ( w + <w) + x )
366,If Lewis earns a total of $ w during x weeks of harvest How much money does he earn each week?,( w / x )
367,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes x suggested adding bacon to the menu and y suggested adding tomatoes How many more students suggested bacon than those that suggested tomatoes?,( x - y )
368,Edward spent $ w to buy books and $ x to buy pens. Now he has $ y. How much did Edward spend on books and pens?,( w + x )
369,Edward spent $ w. Then he received $ x from his friend. Now he has $ y. How much did Edward have before he spent his money?,( ( w - x ) + y )
370,"Julia played tag with w kids on monday, x kids on tuesday and w kids on wednesday. How many more kids did she play with on monday than on tuesday?",( w - x )
371,In a school there are w more girls than boys. If there are x girls How many boys are there in that school?,( x - w )
372,For Gwen's birthday she received w dollars from her mom. Her dad gave her x more dollars. If she spent y dollars. How much money did she still have?,( ( w + x ) - y )
373,"w red peaches, x yellow peaches and y green peaches are in the basket. How many red and green peaches are in the basket?",( w + y )
374,Randy has w blocks. He uses x blocks to build a tower and y blocks to build a house. How many more blocks did he use to build the tower than he did to build the house?,( x - y )
375,The Razorback shop makes $ w dollars off each jersey and $ x off each t-shirt. During the Arkansas and Texas tech game they sold y t-shirts and 2 jerseys. How much money did they make from selling the jerseys?,( w * z )
376,Baker made w cakes. He bought x new cakes and sold y cakes. How many more cakes did baker sell than those he bought?,( y - x )
377,Jack received w emails and x letters in the morning. He then received 2 emails and z letters in the afternoon. How many more letters did Jack receive in the morning than in the afternoon?,( x - z )
378,Jake has w fewer peaches and x more apples than Steven. Steven has y peaches and z apples. How many more apples than peaches does Steven have?,( z - y )
379,Rachel had to complete w pages of math homework and x pages of reading homework. How many more pages of math homework than reading homework did she have?,( w - x )
380,"Frank was reading through his favorite book. The book had w chapters, each with the same number of pages. It has a total of x pages. It took Frank y days to finish the book. How many pages did he read per day?",( x / y )
381,Jesse's room is w feet wide and x feet long. How much longer is her room than it is wide?,( x - w )
382,Frank was reading through some books. Each book had w pages and it took Frank x days to finish each book. How many pages did he read per day?,( w / x )
383,Paul got a box of w crayons and x erasers for his birthday. At the end of the school year he only had y crayons left while not having lost a single eraser. How many more erasers than crayons did he have left?,( x - y )
384,The ring toss game at the carnival made w dollars in the first x days and y dollars in the remaining z days. How much did they make per day in the first x days at the carnival?,( w / x )
385,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in y cups of flour. How many more cups of sugar than cups of flour does she need to add now?,( w - ( x - y ) )
386,Emily is making bead necklaces for her w friends. She made x necklaces and each necklace takes 2 beads. How many beads did Emily have?,( x * y )
387,Melissa scored a total of w points playing some games. Is she scored x points in each game. How many games did she play?,( w / x )
388,Adam has w apples. Jackie has x apples. How many more apples does Adam have than Jackie?,( w - x )
389,Debby bought w water bottles and x soda bottles when they were on sale. If she drank y water bottles and z soda bottles a day How many days would the soda bottles last?,( x / z )
390,Jerry had w action figures and x books on a shelf in his room. Later he added y more books to the shelf. How many more books than action figures were on his shelf?,( ( x + y ) - w )
391,Robin's hair was w inches long. If he grew x more inches How long is his hair now?,( w + x )
392,Danny collects bottle caps and wrappers. He found w wrappers and x bottle caps at the park. Now he has y bottle caps and z wrappers in his collection. How many bottle caps did danny have at first?,( y - x )
393,If you had w bags with equal number of cookies and x cookies in total How many cookies does each bag have?,( x / w )
394,White t - shirts can be purchased in packages of w. If mom buys x white t - shirts How many packages will she have?,( x / w )
395,In a school there are w girls and x boys. y more girls joined the school. How many pupils are there in the school now?,( ( w + x ) + y )
396,For the walls of the house John would use large planks of wood. Each plank needs w pieces of nails to be secured and he would use x planks. How many nails does John need for the house wall?,( x * w )
397,At the arcade Dave had won w tickets. If he used x to buy some toys and y more to buy some clothes How many more tickets did Dave use to buy clothes than he did to buy toys?,( y - x )
398,Marco and his dad went strawberry picking. Together their strawberries weighed w pounds. Marco's strawberries weighed x pounds. How much more did his dad's strawberries weigh than his?,( ( w - x ) - <x)
399,An industrial machine can make w shirts a minute. It made x shirts yesterday and y shirts today. How many minutes did the machine work in all?,( ( x + y ) / w )
400,"w red peaches, x yellow peaches and y green peaches are in the basket. How many more red peaches than yellow peaches are in the basket?",( w - x )
401,For Gwen's birthday she received w dollars from her mom. Her dad gave her x more dollars. If she spent y dollars. How much more money did she receive from her mom than she did from her dad?,( w - x )
402,The ring toss game at the carnival made the same amount of money each day. In total in w days they earned x dollars. Together with game they earned y dollars. How much did ring toss game make per day?,( x / w )
403,Dave had w apps and x files on his phone. After deleting some apps and files he had y apps and z files left. How many apps did he delete?,( w - y )
404,Paco had w sweet cookies and x salty cookies. He ate y salty cookies and z sweet cookies. How many more sweet cookies than salty cookies did he eat?,( z - y )
405,Haley grew w trees in her backyard. After a typhoon x died. How many more trees survived the typhoon than those that died?,( ( w - x ) - <x)
406,Julia played tag with w kids on monday. She played tag with x kids on tuesday. How many more kids did she play with on monday than on tuesday?,( w - x )
407,Kelly has w nintendo games and x sony games. How many sony games does she need to give away so that she will have y sony games left?,( x - y )
408,w red peaches and x green peaches are in the basket. How many more green peaches than red peaches are in the basket?,( x - w )
409,Nell collects baseball cards. She gave w of her cards to Jeff and now has x cards left.. How many cards did Nell have initially?,( x + w )
410,"Julia played tag with w kids on monday, x kids on tuesday and y kids on wednesday. How many kids did she play with on monday and tuesday?",( w + x )
411,"Rachel had to complete w pages of math homework, x pages of reading homework and w6 more pages of biology homework. How many more pages of math homework than reading homework did she have?",( w - x )
412,w campers went rowing in the morning x campers went rowing in the afternoon and y campers went rowing in the evening. How many campers went rowing in all?,( ( w + x ) + y )
413,Josh had w marbles in his collection. He lost x marbles and found y new ones. How many more marbles did he lose than those he found?,( x - y )
414,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y bottle caps and z wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,( x - w )
415,Dave had w files and x apps on his phone. After deleting some apps and files he had y apps and z files left. How many apps did he delete?,( x - y )
416,Paul had w books. After selling some in a garage sale he bought x new ones. If he has y books now How many more books did he buy than he sold?,( y - w )
417,Allan brought w balloons and x balls while Jake brought y balloons and z balls to the park. How many balls did Allan and Jake have in the park?,( x + z )
418,You have w dollars. How many packs of dvds can you buy if each pack costs x dollars?,( w / x )
419,Kelly has w nintendo games and x sony games. How many nintendo games does she need to give away so that she will have y nintendo games left?,( w - y )
420,Julia played tag with w kids on monday. She played tag with x kids on tuesday. How many more kids did she play with on tuesday than on monday?,( x - w )
421,Tiffany was collecting cans for recycling. On monday she had w bags of cans. The next day she found x more bags worth of cans. How many more bags did she have on monday than she found on the next day?,( w - x )
422,There are w skittles in Steven's skittles collection. Steven also has x erasers. If the erasers are organized into y groups How big is each group?,( x / y )
423,Because of the decision Sofia asked the students to suggest specific types of food. w students suggested adding mashed potatoes while others suggested adding bacon to the menu. If x more students suggested adding mashed potatoes than those that suggested bacon How many students suggested bacon?,( w - x )
424,The Razorback t-shirt shop sells each t-shirt for $ w dollars. During the Arkansas and Texas tech game they offered a discount of $ x per t-shirt and sold y t-shirts. How much money did they make from selling the t-shirts?,( ( w - x ) * y )
425,w storks and x birds were sitting on the fence. y more birds came to join them. How many more birds than storks are sitting on the fence?,( ( x + y ) - w )
426,Matthew had w crackers and x cakes. If Matthew gave equal numbers of crackers and cakes to his 2 friends How many cakes did each person eat?,( x / y )
427,There were w roses in the vase. Jessica cut x more roses from her flower garden and put them in the vase. How many roses are there in the vase now?,( w + x )
428,Frank was reading through his favorite book. The book had w pages equally distributed over x chapters. It took Frank y days to finish the book. How many pages are in each chapter?,( w / x )
429,Paco had w sweet cookies and x salty cookies. He ate y sweet cookies and z salty cookies. How many sweet cookies did Paco have left?,( w - y )
430,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in y cups of flour and z cups of sugar. How many more cups of flour does she need to add?,( w - y )
431,Each pack of dvds costs w dollars. If there is a discount of x dollars on each pack How many packs of dvds can you buy with y dollars?,( y / ( w - x ) )
432,There are w different books and x different movies in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more movies than books are there in the ' crazy silly school ' series?,( x - w )
433,Bobby ate w pieces of candy. Then he ate x more. He also ate y pieces of chocolate. How many pieces of candy and chocolate did Bobby eat altogether?,( ( w + x ) + y )
434,Bryan took a look at his books as well. He has w bookshelves with each having the same number of books. If he has a total of x books How many books are there in each bookshelf?,( x / w )
435,Melissa scored w points in each game. If she scored a total of x points How many games did she play?,( x / w )
436,Rachel had to complete w pages of math homework. If she had to complete x more pages of reading homework than math homework How many pages of reading homework did she have to complete?,( w + x )
437,Jack received w emails and sent x letters in the morning. He then received 2 emails and sent z letters in the afternoon. How many emails did Jack receive in the day?,( w + y )
438,At the arcade Dave had won w tickets. He used some tickets to buy toys. If he still has x tickets left How many tickets did Dave use to buy toys?,( w - x )
439,Every day Ryan spends w hours on learning english and some more hours on learning chinese. If he spends x hours more on learning english than on learning chinese How many hours does he spend on learning chinese?,( w - x )
440,Katie had w ds games and her new friends had x games and old friends had y games. How many games do her friends have in all?,( x + y )
