,Unnamed: 0.2,Unnamed: 0.1,ID,Body,Question,Equation,Answer,Type,Symbolic Problem,Symbolic Equation,Variables,Numbers
188,188,188,chal-189,Frank had 42 pieces of candy. If he put them equally into 2 bags,How many pieces of candy are in each bag?,( 42.0 / 2.0 ),21,Common-Division,Frank had <1> pieces of candy. If he put them equally into <2> bags how many pieces of candy are in each bag?,( <1> / <2> ),"['<1>', '<2>']","['42', '2']"
189,189,189,chal-190,Jack received 6 emails in the morning and 2 emails in the afternoon.,How many more emails did Jack receive in the morning than in the afternoon?,( 6.0 - 2.0 ),4,Subtraction,Jack received <1> emails in the morning and <2> emails in the afternoon. how many more emails did jack receive in the morning than in the afternoon?,( <1> - <2> ),"['<1>', '<2>']","['6', '2']"
190,190,190,chal-191,Baker made 43 cakes and 114 pastries. If he sold 154 pastries and 78 cakes,How many more pastries than cakes did baker sell?,( 154.0 - 78.0 ),76,Subtraction,Baker made <1> cakes and <2> pastries. If he sold <3> pastries and <4> cakes how many more pastries than cakes did baker sell?,( <3> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['43', '114', '154', '78']"
191,191,191,chal-192,Haley has 20 marbles. In her class 2 boys love to play marbles. If she distributes her marbles equally,How many will each of the boys receive?,( 20.0 / 2.0 ),10,Common-Division,Haley has <1> marbles. In her class <2> boys love to play marbles. If she distributes her marbles equally how many will each of the boys receive?,( <1> / <2> ),"['<1>', '<2>']","['20', '2']"
192,192,192,chal-193,They decided to hold the party in their backyard. They have 4 sets of tables and each set has 3 chairs. If a total of 14 people will attend the party,How many more chairs will they have to buy?,( 14.0 - ( 4.0 * 3.0 ) ),2,Subtraction,They decided to hold the party in their backyard. They have <1> sets of tables and each set has <2> chairs. If a total of <3> people will attend the party how many more chairs will they have to buy?,( 1<1> - ( 4.0 * <2> ) ),"['<1>', '<2>', '<3>']","['4', '3', '14']"
193,193,193,chal-194,Last week Fred had 19 dollars and Jason had 16 dollars. They washed cars over the weekend and now Fred has 40 dollars and Jason has 69 dollars.,How much money did Fred earn over the weekend?,( 40.0 - 19.0 ),21,Subtraction,Last week Fred had <1> dollars and Jason had <2> dollars. They washed cars over the weekend and now Fred has <3> dollars and Jason has <4> dollars. how much money did fred earn over the weekend?,( <3> - <1> ),"['<1>', '<2>', '<3>', '<4>']","['19', '16', '40', '69']"
194,194,194,chal-195,Paco had 25 cookies. He ate 5 of them. Then he bought 3 more cookies,How many more cookies did he eat than those he bought?,( 5.0 - 3.0 ),2,Subtraction,Paco had <1> cookies. He ate <2> of them. Then he bought <3> more cookies how many more cookies did he eat than those he bought?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['25', '5', '3']"
195,195,195,chal-196,Rachel has 4 apple trees. She picked 7 apples from each of her trees. Now the trees have a total 29 apples still on them.,How many apples did Rachel pick in all?,( 4.0 * 7.0 ),28,Multiplication,Rachel has <1> apple trees. She picked <2> apples from each of her trees. Now the trees have a total <3> apples still on them. how many apples did rachel pick in all?,( <1> * <2> ),"['<1>', '<2>', '<3>']","['4', '7', '29']"
196,196,196,chal-197,Jake has 8 fewer peaches and 10 more apples than Steven. Steven has 11 apples and 18 peaches.,How many more peaches than apples does Steven have?,( 18.0 - 11.0 ),7,Subtraction,Jake has <1> fewer peaches and <2> more apples than Steven. Steven has <3> apples and <4> peaches. how many more peaches than apples does steven have?,( 1<1> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['8', '10', '11', '18']"
197,197,197,chal-198,A grocery store had a total of 30 bottles of which 28 were bottles of regular soda and the rest were bottles of diet soda.,How many bottles of diet soda did they have?,( 30.0 - 28.0 ),2,Subtraction,A grocery store had a total of <1> bottles of which <2> were bottles of regular soda and the rest were bottles of diet soda. how many bottles of diet soda did they have?,( <1> - <2> ),"['<1>', '<2>']","['30', '28']"
198,198,198,chal-199,The Ferris wheel in paradise park has 2 small seats and 23 large seats. Each small seat can hold 14 people and large seat can hold 54 people.,How many people can ride the Ferris wheel on small seats?,( 2.0 * 14.0 ),28,Multiplication,The Ferris wheel in paradise park has <1> small seats and <2> large seats. Each small seat can hold <3> people and large seat can hold <4> people. how many people can ride the ferris wheel on small seats?,( <1> * <3> ),"['<1>', '<2>', '<3>', '<4>']","['2', '23', '14', '54']"
199,199,199,chal-200,Debby bought 360 soda bottles and 162 water bottles when they were on sale. If she drank 122 water bottles and 9 soda bottles a day,How many days would the soda bottles last?,( 360.0 / 9.0 ),40,Common-Division,Debby bought <1> soda bottles and <2> water bottles when they were on sale. If she drank <3> water bottles and <4> soda bottles a day how many days would the soda bottles last?,( <1> / <4> ),"['<1>', '<2>', '<3>', '<4>']","['360', '162', '122', '9']"
200,200,200,chal-201,A grocery store had 4 bottles of diet soda. If they had 79 more bottles of regular soda than diet soda,How many bottles of regular soda did they have?,( 4.0 + 79.0 ),83,Addition,A grocery store had <1> bottles of diet soda. If they had <2> more bottles of regular soda than diet soda how many bottles of regular soda did they have?,( <1> + <2> ),"['<1>', '<2>']","['4', '79']"
201,201,201,chal-202,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ 60 by selling t-shirts. If they make $ 10 dollars off each t-shirt sold,How many t-shirts did they sell?,( 60.0 / 10.0 ),6,Common-Division,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ <1> by selling t-shirts. If they make $ <2> dollars off each t-shirt sold how many t-shirts did they sell?,( <1> / <2> ),"['<1>', '<2>']","['60', '10']"
202,202,202,chal-203,Frank was reading through his favorite book. He read 22 pages per day and it took him 569 days to finish the book.,How many pages are there in the book?,( 22.0 * 569.0 ),12518,Multiplication,Frank was reading through his favorite book. He read <1> pages per day and it took him <2> days to finish the book. how many pages are there in the book?,( <1> * <2> ),"['<1>', '<2>']","['22', '569']"
203,203,203,chal-204,Winter is almost here and most animals are migrating to warmer countries. 86 bird families flew away for the winter from near a mountain. If there were 45 bird families living near the mountain initially,How many more bird families flew away for the winter than those that stayed behind?,( 86.0 - ( 45.0 - 86.0 ) ),127,Subtraction,Winter is almost here and most animals are migrating to warmer countries. <1> bird families flew away for the winter from near a mountain. If there were <2> bird families living near the mountain initially how many more bird families flew away for the winter than those that stayed behind?,( <1> - ( <2> - 86.0 ) ),"['<1>', '<2>']","['86', '45']"
204,204,204,chal-205,Allan brought 2 balloons to the park and then bought 3 more balloons there. If Jake brought 6 balloons to the park,How many more balloons did Jake have than Allan in the park?,( 6.0 - ( 2.0 + 3.0 ) ),1,Subtraction,Allan brought <1> balloons to the park and then bought <2> more balloons there. If Jake brought <3> balloons to the park how many more balloons did jake have than allan in the park?,( <3> - ( <1> + <2> ) ),"['<1>', '<2>', '<3>']","['2', '3', '6']"
205,205,205,chal-206,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves,How many magazines does he have in total?,( 46.0 * 10.0 ),460,Multiplication,Bryan took a look at his books and magazines. If he has <1> books and <2> magazines in each of his <3> bookshelves how many magazines does he have in total?,( <2> * <3> ),"['<1>', '<2>', '<3>']","['9', '46', '10']"
206,206,206,chal-207,"Rachel had to complete 8 pages of math homework, 7 pages of reading homework and 3 more pages of biology homework.",How many pages of math and biology homework did she have to complete?,( 8.0 + 3.0 ),11,Addition,"Rachel had to complete <1> pages of math homework, <2> pages of reading homework and <3> more pages of biology homework. how many pages of math and biology homework did she have to complete?",( <1> + <3> ),"['<1>', '<2>', '<3>']","['8', '7', '3']"
207,207,207,chal-208,"Every day Ryan spends 2 hours on learning english, 5 hours on learning chinese and 4 hours on learning spanish.",How many more hours does he spend on learning chinese than he does on learning spanish?,( 5.0 - 4.0 ),1,Subtraction,"Every day Ryan spends <1> hours on learning english, <2> hours on learning chinese and <3> hours on learning spanish. how many more hours does he spend on learning chinese than he does on learning spanish?",( <2> - <3> ),"['<1>', '<2>', '<3>']","['2', '5', '4']"
208,208,208,chal-209,2 birds were sitting on the fence. 5 more birds and 4 more storks came to join them.,How many more birds than storks are sitting on the fence?,( ( 2.0 + 5.0 ) - 4.0 ),3,Subtraction,<1> birds were sitting on the fence. <2> more birds and <3> more storks came to join them. how many more birds than storks are sitting on the fence?,( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['2', '5', '4']"
209,209,209,chal-210,Paco had 6 cookies. He gave 30 cookies to his friend and ate 23 cookies.,How many more cookies did he give to his friend than those he ate?,( 30.0 - 23.0 ),7,Subtraction,Paco had <1> cookies. He gave <2> cookies to his friend and ate <3> cookies. how many more cookies did he give to his friend than those he ate?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['6', '30', '23']"
210,210,210,chal-211,Baker made 170 cakes. He sold 78 of them and bought 31 new cakes.,How many more cakes did baker sell than those he bought?,( 78.0 - 31.0 ),47,Subtraction,Baker made <1> cakes. He sold <2> of them and bought <3> new cakes. how many more cakes did baker sell than those he bought?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['170', '78', '31']"
211,211,211,chal-212,Shirley sold 25 cases of boxes of trefoils.,How many boxes of trefoils does she need to deliver if each case has 14 boxes?,( 25.0 * 14.0 ),350,Multiplication,Shirley sold <1> cases of boxes of trefoils. how many boxes of trefoils does she need to deliver if each case has <2> boxes?,( <1> * <2> ),"['<1>', '<2>']","['25', '14']"
212,212,212,chal-213,We ordered 17 pizzas. Each pizza has 4 slices. If there are 25 of us,How many slices of pizza are there altogether?,( 17.0 * 4.0 ),68,Multiplication,We ordered <1> pizzas. Each pizza has <2> slices. If there are <3> of us how many slices of pizza are there altogether?,( <1> * <2> ),"['<1>', '<2>', '<3>']","['17', '4', '25']"
213,213,213,chal-214,There were 12 roses and 2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 10 roses and 21 orchids in the vase.,How many orchids did she cut?,( 21.0 - 2.0 ),19,Subtraction,There were <1> roses and <2> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and <4> orchids in the vase. how many orchids did she cut?,( <2>0 - 2.0 ),"['<1>', '<2>', '<3>', '<4>']","['12', '2', '10', '21']"
214,214,214,chal-215,White t - shirts can be purchased in packages. If mom buys 66 white t - shirts where each package has 3 white t - shirts.,How many packages will she have?,( 66.0 / 3.0 ),22,Common-Division,White t - shirts can be purchased in packages. If mom buys <1> white t - shirts where each package has <2> white t - shirts. how many packages will she have?,( <1> / <2> ),"['<1>', '<2>']","['66', '3']"
215,215,215,chal-216,Mary is baking a cake. The recipe calls for 5 cups of flour and 14 cups of sugar. She already put in 10 cups of flour and 2 cups of sugar.,How many more cups of sugar does she need to add?,( 14.0 - 2.0 ),12,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour and <<4>> cups of sugar. She already put in <3> cups of flour and 2 cups of sugar. how many more cups of sugar does she need to add?,( <<4>- 2.0 ),"['<1>', '<2>', '<3>', '<4>']","['5', '14', '10', '2']"
216,216,216,chal-217,Mom buys 51 white t - shirts. If white t - shirts can be purchased in packages of 3,How many packages will she have?,( 51.0 / 3.0 ),17,Common-Division,Mom buys <1> white t - shirts. If white t - shirts can be purchased in packages of <2> how many packages will she have?,( <1> / <2> ),"['<1>', '<2>']","['51', '3']"
217,217,217,chal-218,Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves.,How many total items could his shelves hold?,( ( 8.0 + 10.0 ) * 4.0 ),72,Multiplication,Adam could fit <1> action figures and <2> cabinets on each shelf in his room. His room has <3> shelves. how many total items could his shelves hold?,( ( <1> + <2> ) * <3> ),"['<1>', '<2>', '<3>']","['8', '10', '4']"
218,218,218,chal-219,We ordered 7 pizzas. Each pizza has the same number of slices. If there were a total of 14 slices,How many slices are there in each pizza?,( 14.0 / 7.0 ),2,Common-Division,We ordered <1> pizzas. Each pizza has the same number of slices. If there were a total of <2> slices how many slices are there in each pizza?,( <2> / <1> ),"['<1>', '<2>']","['7', '14']"
219,219,219,chal-220,Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes.,How many more cakes did baker make than those he sold?,( ( 144.0 + 111.0 ) - 71.0 ),184,Subtraction,Baker made <1> cakes. He sold <2> of them. Then he made <3> more cakes. how many more cakes did baker make than those he sold?,( ( <1> + <3> ) - <2> ),"['<1>', '<2>', '<3>']","['144', '71', '111']"
220,220,220,chal-221,Mary is baking a cake. The recipe calls for 12 cups of flour 5 cups of sugar and 49 cups of salt. She already put in 11 cups of flour.,How many more cups of flour does she need to add?,( 12.0 - 11.0 ),1,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour <2> cups of sugar and <3> cups of salt. She already put in <4> cups of flour. how many more cups of flour does she need to add?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['12', '5', '49', '11']"
221,221,221,chal-222,The Razorback t-shirt shop makes $ 78 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 186 t-shirts. If they sold 172 t-shirts during the Arkansas game,How much money did they make from selling the t-shirts during the Texas tech game?,( 78.0 * ( 186.0 - 172.0 ) ),1092,Multiplication,The Razorback t-shirt shop makes $ <1> dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of <2> t-shirts. If they sold <3> t-shirts during the Arkansas game how much money did they make from selling the t-shirts during the texas tech game?,( <1> * ( <2> - <3> ) ),"['<1>', '<2>', '<3>']","['78', '186', '172']"
222,222,222,chal-223,There are 62 different movies and 19 different books in the ' crazy silly school ' series. If you read 4 of the books and watched 34 of the movies,How many more books do you still have to read?,( 19.0 - 4.0 ),15,Subtraction,There are <1> different movies and <2> different books in the ' crazy silly school ' series. If you read <3> of the books and watched <4> of the movies how many more books do you still have to read?,( <2> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['62', '19', '4', '34']"
223,223,223,chal-224,We ordered some pizzas. Each pizza has 2 slices. If there were a total of 28 slices,How many pizzas did we order?,( 28.0 / 2.0 ),14,Common-Division,We ordered some pizzas. Each pizza has <1> slices. If there were a total of <2> slices how many pizzas did we order?,( <1>0 / 2.0 ),"['<1>', '<2>']","['2', '28']"
224,224,224,chal-225,Rebecca wants to split a collection of eggs into groups of 3. Rebecca has 99 bananas 9 eggs and 27 marbles.,How many groups will be created?,( 9.0 / 3.0 ),3,Common-Division,Rebecca wants to split a collection of eggs into groups of <1>. Rebecca has <2> bananas <3> eggs and <4> marbles. how many groups will be created?,( <3> / <1> ),"['<1>', '<2>', '<3>', '<4>']","['3', '99', '9', '27']"
225,225,225,chal-226,41 children were riding on the bus. At the bus stop some children got off the bus. Then there were 18 children left on the bus.,How many more children were on the bus before the bus stop than there are now?,( 41.0 - 18.0 ),23,Subtraction,<1> children were riding on the bus. At the bus stop some children got off the bus. Then there were <2> children left on the bus. how many more children were on the bus before the bus stop than there are now?,( <1> - <2> ),"['<1>', '<2>']","['41', '18']"
226,226,226,chal-227,In Haley's class some boys love to play marbles. Haley gives 2 marbles to each boy. If she had 28 marbles,How many boys did she give the marbles to?,( 28.0 / 2.0 ),14,Common-Division,In Haley's class some boys love to play marbles. Haley gives <1> marbles to each boy. If she had <2> marbles how many boys did she give the marbles to?,( <1>0 / 2.0 ),"['<1>', '<2>']","['2', '28']"
227,227,227,chal-228,Matthew had 14 crackers and 21 cakes. If Matthew gave equal numbers of crackers and cakes to his 7 friends,How many crackers and cakes did each person eat?,( ( 14.0 + 21.0 ) / 7.0 ),5,Common-Division,Matthew had <1> crackers and <2> cakes. If Matthew gave equal numbers of crackers and cakes to his <3> friends how many crackers and cakes did each person eat?,( ( <1> + <2> ) / <3> ),"['<1>', '<2>', '<3>']","['14', '21', '7']"
228,228,228,chal-229,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday.,How many cookies did Helen bake till last night?,( 31.0 + 419.0 ),450,Addition,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked <1> cookies yesterday <2> cookies this morning and <3> cookies the day before yesterday. how many cookies did helen bake till last night?,( <1> + <3> ),"['<1>', '<2>', '<3>']","['31', '270', '419']"
229,229,229,chal-230,For the walls of the house he would use 4 nails in all to secure large planks of wood. If each plank of wood needs 2 pieces of nails to be secured,How many planks does John need for the house wall?,( 4.0 / 2.0 ),2,Common-Division,For the walls of the house he would use <1> nails in all to secure large planks of wood. If each plank of wood needs <2> pieces of nails to be secured how many planks does john need for the house wall?,( <1> / <2> ),"['<1>', '<2>']","['4', '2']"
230,230,230,chal-231,Danny collects bottle caps and wrappers. He found 30 bottle caps and 14 wrappers at the park. Now he has 7 bottle caps and 86 wrappers in his collection.,How many more bottle caps than wrappers did danny find at the park?,( 30.0 - 14.0 ),16,Subtraction,Danny collects bottle caps and wrappers. He found <1> bottle caps and <2> wrappers at the park. Now he has <3> bottle caps and <4> wrappers in his collection. how many more bottle caps than wrappers did danny find at the park?,( <1> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['30', '14', '7', '86']"
231,231,231,chal-232,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day and that each sack containes 35 oranges.,How many oranges do they harvest per day?,( 8.0 * 35.0 ),280,Multiplication,He then went to see the oranges being harvested. He found out that they harvest <1> sacks per day and that each sack containes <2> oranges. how many oranges do they harvest per day?,( <1> * <2> ),"['<1>', '<2>']","['8', '35']"
232,232,232,chal-233,Edward spent $ 16 to buy books and $ 8 to buy pens. Now he has $ 19.,How much more did Edward spend on books than pens?,( 16.0 - 8.0 ),8,Subtraction,Edward spent $ <1> to buy books and $ <2> to buy pens. Now he has $ <3>. how much more did edward spend on books than pens?,( <1> - <2> ),"['<1>', '<2>', '<3>']","['16', '8', '19']"
233,233,233,chal-234,Emily is making bead necklaces for her friends. Each necklace takes 8 beads and she has 16 beads.,How many necklaces can Emily make?,( 16.0 / 8.0 ),2,Common-Division,Emily is making bead necklaces for her friends. Each necklace takes <1> beads and she has <2> beads. how many necklaces can emily make?,( <2> / <1> ),"['<1>', '<2>']","['8', '16']"
234,234,234,chal-235,Dan has $ 4. He had $ 3 left with him after he bought a candy bar.,How much did the candy bar cost?,( 4.0 - 3.0 ),1,Subtraction,Dan has $ <1>. He had $ <2> left with him after he bought a candy bar. how much did the candy bar cost?,( <1> - <2> ),"['<1>', '<2>']","['4', '3']"
235,235,235,chal-236,Paul got a box of 253 crayons for his birthday. By the end of the school year he had either lost or given away 70 of them.,How many crayons did he have left by the end of the school year?,( 253.0 - 70.0 ),183,Subtraction,Paul got a box of <1> crayons for his birthday. By the end of the school year he had either lost or given away <2> of them. how many crayons did he have left by the end of the school year?,( <1> - <2> ),"['<1>', '<2>']","['253', '70']"
236,236,236,chal-237,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 144 chocolate chip cookies and 397 raisin cookies yesterday. And she baked 85 raisin cookies and 403 chocolate chip cookies this morning.,How many raisin cookies did Helen bake?,( 397.0 + 85.0 ),482,Addition,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked <1> chocolate chip cookies and <2> raisin cookies yesterday. And she baked <3> raisin cookies and <4> chocolate chip cookies this morning. how many raisin cookies did helen bake?,( <2> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['144', '397', '85', '403']"
237,237,237,chal-238,Rachel picked 2 ripe apples from her tree. Now the tree has 7 apples still on it. If 6 of those are ripe and the rest are unripe,How many ripe apples did the tree have to begin with?,( 2.0 + 6.0 ),8,Addition,Rachel picked <1> ripe apples from her tree. Now the tree has <2> apples still on it. If <3> of those are ripe and the rest are unripe how many ripe apples did the tree have to begin with?,( <1> + <3> ),"['<1>', '<2>', '<3>']","['2', '7', '6']"
238,238,238,chal-239,An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute.,How many minutes did the machine work yesterday?,( 9.0 / 3.0 ),3,Common-Division,An industrial machine made <1> shirts yesterday and <2> shirts today. It can make <3> shirts a minute. how many minutes did the machine work yesterday?,( <1> / <3> ),"['<1>', '<2>', '<3>']","['9', '44', '3']"
239,239,239,chal-240,Zachary did 51 push-ups in gym class today. David did 22 more push-ups than Zachary. John did 4 push-ups less than David.,How many push-ups did John do?,( ( 51.0 + 22.0 ) - 4.0 ),69,Subtraction,Zachary did <1> push-ups in gym class today. David did <2> more push-ups than Zachary. John did <3> push-ups less than David. how many push-ups did john do?,( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['51', '22', '4']"
240,240,240,chal-241,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 519 chocolate chip cookies and 300 raisin cookies yesterday. And she baked 280 raisin cookies and 359 chocolate chip cookies this morning.,How many more raisin cookies did Helen bake yesterday compared to today?,( 300.0 - 280.0 ),20,Subtraction,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked <1> chocolate chip cookies and <2> raisin cookies yesterday. And she baked <3> raisin cookies and <4> chocolate chip cookies this morning. how many more raisin cookies did helen bake yesterday compared to today?,( <2> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['519', '300', '280', '359']"
241,241,241,chal-242,"A grocery store had 81 bottles of regular soda, 60 bottles of diet soda and 60 bottles of lite soda.",How many more bottles of regular soda did they have than diet soda?,( 81.0 - 60.0 ),21,Subtraction,"A grocery store had <1> bottles of regular soda, <2> bottles of diet soda and <3> bottles of lite soda. how many more bottles of regular soda did they have than diet soda?",( <1> - <2> ),"['<1>', '<2>', '<3>']","['81', '60', '60']"
242,242,242,chal-243,Randy has some blocks. He uses 52 blocks to build a tower. If there are 38 blocks left,How many blocks did he have at the start?,( 52.0 + 38.0 ),90,Addition,Randy has some blocks. He uses <1> blocks to build a tower. If there are <2> blocks left how many blocks did he have at the start?,( <1> + <2> ),"['<1>', '<2>']","['52', '38']"
243,243,243,chal-244,Edward had $ 13. He spent some money. Now he has $ 3.,How much money did Edward spend?,( 13.0 - 3.0 ),10,Subtraction,Edward had $ <1>. He spent some money. Now he has $ <2>. how much money did edward spend?,( <1> - <2> ),"['<1>', '<2>']","['13', '3']"
244,244,244,chal-245,Ed had 19 more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has 8 more marbles than doug.,How many marbles did Ed lose?,( 19.0 - 8.0 ),11,Subtraction,Ed had <1> more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has <2> more marbles than doug. how many marbles did ed lose?,( <1> - <2> ),"['<1>', '<2>']","['19', '8']"
245,245,245,chal-246,They decided to hold the party in their backyard. They have 12 sets of tables and each set has 14 chairs. There are also 6 chairs extra.,How many chairs do they have for the guests?,( ( 12.0 * 14.0 ) + 6.0 ),174,Addition,They decided to hold the party in their backyard. They have <1> sets of tables and each set has <2> chairs. There are also <3> chairs extra. how many chairs do they have for the guests?,( ( <1> * <2> ) + <3> ),"['<1>', '<2>', '<3>']","['12', '14', '6']"
246,246,246,chal-247,The Ferris wheel in paradise park has 3 small seats and 7 large seats. Each small seat can hold 16 people and large seat can hold 12 people.,How many people can ride the Ferris wheel on large seats?,( 7.0 * 12.0 ),84,Multiplication,The Ferris wheel in paradise park has <1> small seats and <2> large seats. Each small seat can hold <3> people and large seat can hold <4> people. how many people can ride the ferris wheel on large seats?,( <2> * <4> ),"['<1>', '<2>', '<3>', '<4>']","['3', '7', '16', '12']"
247,247,247,chal-248,There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block,How many pieces of junk mail should he give each block?,( 32.0 * 20.0 ),640,Multiplication,There are <1> houses in a block. If a mailman has to give <2> pieces of junk mail to each house in each block how many pieces of junk mail should he give each block?,( <2> * <1> ),"['<1>', '<2>']","['20', '32']"
248,248,248,chal-249,"A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples.",How many more bottles than apple did they have?,( ( 72.0 + 32.0 ) - 78.0 ),26,Subtraction,"A grocery store had <1> bottles of regular soda, <2> bottles of diet soda and <3> apples. how many more bottles than apple did they have?",( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['72', '32', '78']"
249,249,249,chal-250,There are 7 baskets of peaches. Each basket has 10 red peaches and 2 green peaches.,How many green peaches are in the baskets altogether?,( 2.0 * 7.0 ),14,Multiplication,There are <1> baskets of peaches. Each basket has <<3>> red peaches and 2 green peaches. how many green peaches are in the baskets altogether?,( <3> * <1> ),"['<1>', '<2>', '<3>']","['7', '10', '2']"
250,250,250,chal-251,Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter.,How many bird families were left near the mountain?,( ( 3.0 - 2.0 ) + 26.0 ),27,Addition,Winter is almost here and most animals are migrating to warmer countries. There are <1> bird families living near the mountain. <<3>> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountain?,( ( <1> - <3> ) + <2> ),"['<1>', '<2>', '<3>']","['3', '26', '2']"
251,251,251,chal-252,Because of the decision Sofia asked the students to suggest specific types of food. If 144 students suggested adding mashed potatoes 467 suggested adding bacon to the menu and 79 suggested adding tomatoes,How many more students suggested mashed potatoes than those that suggested tomatoes?,( 144.0 - 79.0 ),65,Subtraction,Because of the decision Sofia asked the students to suggest specific types of food. If <1> students suggested adding mashed potatoes <2> suggested adding bacon to the menu and <3> suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested tomatoes?,( <1> - <3> ),"['<1>', '<2>', '<3>']","['144', '467', '79']"
252,252,252,chal-253,Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all,How much carpet does she need to cover the floors of all rooms?,( ( 19.0 * 18.0 ) * 20.0 ),6840,Multiplication,Jesse's rooms are <1> feet long and <2> feet wide. If she has <3> rooms in all how much carpet does she need to cover the floors of all rooms?,( ( <1> * <2> ) * <3> ),"['<1>', '<2>', '<3>']","['19', '18', '20']"
253,253,253,chal-254,Rachel had to complete 10 pages of math homework. If she had to complete 3 more pages of reading homework than math homework,How many pages did she have to complete in all?,( ( 10.0 + 10.0 ) + 3.0 ),23,Addition,Rachel had to complete <1> pages of math homework. If she had to complete <2> more pages of reading homework than math homework how many pages did she have to complete in all?,( ( <1> + 10.0 ) + <2> ),"['<1>', '<2>']","['10', '3']"
254,254,254,chal-255,In a school there are 700 girls and the rest are boys. If there are 142 more boys than girls,How many pupils are there in that school?,( ( 700.0 + 700.0 ) + 142.0 ),1542,Addition,In a school there are <1> girls and the rest are boys. If there are <2> more boys than girls how many pupils are there in that school?,( ( <1> + 700.0 ) + <2> ),"['<1>', '<2>']","['700', '142']"
255,255,255,chal-256,A waiter had 14 customers. 5 customers left.,How many customers does he still have?,( 14.0 - 5.0 ),9,Subtraction,A waiter had <1> customers. <2> customers left. how many customers does he still have?,( <1> - <2> ),"['<1>', '<2>']","['14', '5']"
256,256,256,chal-257,Lucy went to the grocery store. She bought 2 packs of cookie and 12 packs of cake. In the end she had 56 amount of change remaining.,How many packs of groceries did she buy in all?,( 2.0 + 12.0 ),14,Addition,Lucy went to the grocery store. She bought <1> packs of cookie and <2> packs of cake. In the end she had <3> amount of change remaining. how many packs of groceries did she buy in all?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['2', '12', '56']"
257,257,257,chal-258,Mary is baking a cake. The recipe calls for 11 cups of sugar and 9 cups of flour. She already put in 12 cups of flour and 10 cups of sugar.,How many more cups of sugar does she need to add?,( 11.0 - 10.0 ),1,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of sugar and <2> cups of flour. She already put in <3> cups of flour and <4> cups of sugar. how many more cups of sugar does she need to add?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['11', '9', '12', '10']"
258,258,258,chal-259,Marco and his dad went strawberry picking. His strawberries weighed 8 pounds while his dad's strawberries weighed 32 pounds.,Together how much did their strawberries weigh?,( 8.0 + 32.0 ),40,Addition,Marco and his dad went strawberry picking. His strawberries weighed <1> pounds while his dad's strawberries weighed <2> pounds. together how much did their strawberries weigh?,( <1> + <2> ),"['<1>', '<2>']","['8', '32']"
