,Question
216,Mom buys x1 white t - shirts. If white t - shirts can be purchased in packages of x2 how many packages will she have?
217,Adam could fit x1 action figures and x2 cabinets on each shelf in his room. His room has x3 shelves. how many total items could his shelves hold?
218,We ordered x1 pizzas. Each pizza has the same number of slices. If there were a total of x2 slices how many slices are there in each pizza?
219,Baker made x1 cakes. He sold x2 of them. Then he made x3 more cakes. how many more cakes did baker make than those he sold?
220,Mary is baking a cake. The recipe calls for x1 cups of flour x2 cups of sugar and x3 cups of salt. She already put in x4 cups of flour. how many more cups of flour does she need to add?
221,The Razorback t-shirt shop makes $ x1 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of x2 t-shirts. If they sold x3 t-shirts during the Arkansas game how much money did they make from selling the t-shirts during the texas tech game?
222,There are x1 different movies and x2 different books in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more books do you still have to read?
223,We ordered some pizzas. Each pizza has x1 slices. If there were a total of x2 slices how many pizzas did we order?
224,Rebecca wants to split a collection of eggs into groups of x1. Rebecca has x2 bananas x3 eggs and x4 marbles. how many groups will be created?
225,x1 children were riding on the bus. At the bus stop some children got off the bus. Then there were x2 children left on the bus. how many more children were on the bus before the bus stop than there are now?
226,In Haley's class some boys love to play marbles. Haley gives x1 marbles to each boy. If she had x2 marbles how many boys did she give the marbles to?
227,Matthew had x1 crackers and x2 cakes. If Matthew gave equal numbers of crackers and cakes to his x3 friends how many crackers and cakes did each person eat?
228,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked x1 cookies yesterday x2 cookies this morning and x3 cookies the day before yesterday. how many cookies did helen bake till last night?
229,For the walls of the house he would use x1 nails in all to secure large planks of wood. If each plank of wood needs x2 pieces of nails to be secured how many planks does john need for the house wall?
230,Danny collects bottle caps and wrappers. He found x1 bottle caps and x2 wrappers at the park. Now he has x3 bottle caps and x4 wrappers in his collection. how many more bottle caps than wrappers did danny find at the park?
231,He then went to see the oranges being harvested. He found out that they harvest x1 sacks per day and that each sack containes x2 oranges. how many oranges do they harvest per day?
232,Edward spent $ x1 to buy books and $ x2 to buy pens. Now he has $ x3. how much more did edward spend on books than pens?
233,Emily is making bead necklaces for her friends. Each necklace takes x1 beads and she has x2 beads. how many necklaces can emily make?
234,Dan has $ x1. He had $ x2 left with him after he bought a candy bar. how much did the candy bar cost?
235,Paul got a box of x1 crayons for his birthday. By the end of the school year he had either lost or given away x2 of them. how many crayons did he have left by the end of the school year?
236,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked x1 chocolate chip cookies and x2 raisin cookies yesterday. And she baked x3 raisin cookies and x4 chocolate chip cookies this morning. how many raisin cookies did helen bake?
237,Rachel picked x1 ripe apples from her tree. Now the tree has x2 apples still on it. If x3 of those are ripe and the rest are unripe how many ripe apples did the tree have to begin with?
238,An industrial machine made x1 shirts yesterday and x2 shirts today. It can make x3 shirts a minute. how many minutes did the machine work yesterday?
239,Zachary did x1 push-ups in gym class today. David did x2 more push-ups than Zachary. John did x3 push-ups less than David. how many push-ups did john do?
240,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked x1 chocolate chip cookies and x2 raisin cookies yesterday. And she baked x3 raisin cookies and x4 chocolate chip cookies this morning. how many more raisin cookies did helen bake yesterday compared to today?
241,"A grocery store had x1 bottles of regular soda, x2 bottles of diet soda and x3 bottles of lite soda. how many more bottles of regular soda did they have than diet soda?"
242,Randy has some blocks. He uses x1 blocks to build a tower. If there are x2 blocks left how many blocks did he have at the start?
243,Edward had $ x1. He spent some money. Now he has $ x2. how much money did edward spend?
244,Ed had x1 more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has x2 more marbles than doug. how many marbles did ed lose?
245,They decided to hold the party in their backyard. They have x1 sets of tables and each set has x2 chairs. There are also x3 chairs extra. how many chairs do they have for the guests?
246,The Ferris wheel in paradise park has x1 small seats and x2 large seats. Each small seat can hold x3 people and large seat can hold x4 people. how many people can ride the ferris wheel on large seats?
247,There are x1 houses in a block. If a mailman has to give x2 pieces of junk mail to each house in each block how many pieces of junk mail should he give each block?
248,"A grocery store had x1 bottles of regular soda, x2 bottles of diet soda and x3 apples. how many more bottles than apple did they have?"
249,There are x1 baskets of peaches. Each basket has <x3> red peaches and 2 green peaches. how many green peaches are in the baskets altogetherThere are x1 baskets of peaches. Each basket has <<3>> red peaches and 2 green peaches. how many green peaches are in the baskets altogetherThere are x1 baskets of peaches. Each basket has <<3>> red peaches and 2 green peaches. how many green peaches are in the baskets altogetherThere are x1 baskets of peaches. Each basket has <<3>> red peaches and 2 green peaches. how many green peaches are in the baskets altogetherThere are x1 baskets of peaches. Each basket has <<3>> red peaches and 2 green peaches. how many green peaches are in the baskets altogetherThere are x1 baskets of peaches. Each basket has <<3>> red peaches and 2 green peaches. how many green peaches are in the baskets altogetherThere are x1 baskets of peaches. Each basket has <<3>> red peaches and 2 green peaches. how many green peaches are in the baskets altogetherThere are x1 baskets of peaches. Each basket has <<3>> red peaches and 2 green peaches. how many green peaches are in the baskets altogetherx2?
250,Winter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. <x3> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountainWinter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. <<3>> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountainWinter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. <<3>> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountainWinter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. <<3>> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountainWinter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. <<3>> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountainWinter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. <<3>> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountainWinter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. <<3>> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountainWinter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. <<3>> new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. how many bird families were left near the mountainx2?
251,Because of the decision Sofia asked the students to suggest specific types of food. If x1 students suggested adding mashed potatoes x2 suggested adding bacon to the menu and x3 suggested adding tomatoes how many more students suggested mashed potatoes than those that suggested tomatoes?
252,Jesse's rooms are x1 feet long and x2 feet wide. If she has x3 rooms in all how much carpet does she need to cover the floors of all rooms?
253,Rachel had to complete x1 pages of math homework. If she had to complete x2 more pages of reading homework than math homework how many pages did she have to complete in all?
254,In a school there are x1 girls and the rest are boys. If there are x2 more boys than girls how many pupils are there in that school?
255,A waiter had x1 customers. x2 customers left. how many customers does he still have?
256,Lucy went to the grocery store. She bought x1 packs of cookie and x2 packs of cake. In the end she had x3 amount of change remaining. how many packs of groceries did she buy in all?
257,Mary is baking a cake. The recipe calls for x1 cups of sugar and x2 cups of flour. She already put in x3 cups of flour and x4 cups of sugar. how many more cups of sugar does she need to add?
258,Marco and his dad went strawberry picking. His strawberries weighed x1 pounds while his dad's strawberries weighed x2 pounds. together how much did their strawberries weigh?
259,Kelly gives away x1 nintendo games. how many did she have initially if she still has x2 games left?
260,The Razorback t-shirt shop makes $ x1 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of x2 t-shirts. If they sold x3 t-shirts during the Arkansas game how many t-shirts did they sell during the texas tech game?
261,The Razorback t-shirt shop makes $ x1 dollars off each t-shirt sold. During the Arkansas and Texas tech game they made $ x2 by selling t-shirts. how many t-shirts did they sell?
262,Randy has x1 blocks. He uses x2 blocks to build a house and x3 blocks to build a tower. how many more blocks did he use to build the house than he did to build the tower?
263,Allan brought x1 balloons and Jake brought x2 balloons to the park. how many more balloons did jake have than allan in the park?
264,"Every day Ryan spends x1 hours on learning english, x2 hours on learning chinese and x3 hours on learning spanish. how many more hours does he spend on learning english than he does on learning spanish?"
265,Robin has x1 packages of gum. There are x2 pieces in each package. Robin has x3 extra pieces of gum. how many pieces of gum does robin have?
266,Paul had x1 books. After selling some books in a garage sale and giving x2 books to his friend he had x3 books left. how many books did he sell in the garage sale?
267,For the walls of the house he would use x1 large planks of wood and x2 small planks. If each large plank of wood needs x3 pieces of nails to be secured and each small plank needs x4 nails. how many planks does john need for the house wall?
268,Melissa played x1 games and scored a total of x2 points scoring the same for each game. how many points did she score in each game?
269,Nell collects cards. She had x1 baseball cards and x2 Ace cards. She gave some of her cards to Jeff and now has x3 baseball cards and x4 Ace cards left. how many more ace cards than baseball cards does nell have?
270,Jerry had x1 action figures on a shelf in his room. Later he added x2 more action figures to the shelf and removed x3 old ones. how many action figures were on his shelf in all?
271,Paige was helping her mom plant flowers and together they planted x1 seeds in x2 flowerbeds. If they put same number of seeds in each flower bed how many seeds did they plant in each flowerbed?
272,A mailman has to give x1 pieces of junk mail to each house in each of the x2 blocks. If there are x3 houses in each block how many pieces of junk mail should he give in each block?
273,The ring toss game at the carnival made x1 dollars in the first x2 days and x3 dollars in the remaining x4 days. how much did they make per day in the remaining x5 days at the carnival?
274,Brenda's mother made cookies for x1 guests but x2 guests did not come. If she prepared x3 cookies and each guest had the same number of cookies how many did each of them have?
275,Mary is baking a cake. The recipe calls for x1 cups of sugar <x4> cups of flour and x3 cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar <<4>> cups of flour and <3> cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar <<4>> cups of flour and <3> cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar <<4>> cups of flour and <3> cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar <<4>> cups of flour and <3> cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar <<4>> cups of flour and <3> cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar <<4>> cups of flour and <3> cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add nowMary is baking a cake. The recipe calls for x1 cups of sugar <<4>> cups of flour and <3> cups of salt. She already put in 2 cups of flour. how many more cups of flour than cups of salt does she need to add nowx2?
276,Baker made some cakes. He sold x1 of them. If he still has x2 cakes left how many cakes did baker make?
277,Jesse needs a carpet of size x1 square feet to cover her room. If her room is x2 feet wide what is the length of her room?
278,There are some bananas in Philip's banana collection. If the bananas are organized into x1 groups of size x2 how many bananas does he have in his collection?
279,Rebecca wants to split a collection of eggs into groups of x1. Rebecca has x2 eggs x3 bananas and x4 marbles. how many groups will be created?
280,Jessie currently weighs x1 kilograms. After she started to go jogging everyday she lost x2 kilograms in the first week and x3 kilograms in the second week. how much did she weigh before starting to jog?
281,The school is planning a field trip. The school has x1 classrooms. There are x2 seats on each school bus. If there are a total of x3 students in the school how many buses are needed to take the trip?
282,x1 campers went rowing and x2 campers went hiking in the morning. x3 campers went rowing in the afternoon. how many campers went rowing in all?
283,Jerry had x1 action figures on a shelf in his room. Later he added x2 more action figures to the shelf. If he also has x3 books on the shelf how many more action figures than books were on his shelf?
284,Josh had x1 marbles in his collection. He found x2 marbles ones while he lost x3 marbles. how many marbles does he have now?
285,For the walls of the house he would use x1 large planks of wood and x2 small planks. If large planks together need x3 pieces of nails to be secured and small planks together need x4 nails. how many nails does john need for the house wall?
286,Paul got a box of x1 crayons for his birthday. During the school year he gave x2 crayons to his friends while he lost x3 crayons. how many more crayons did he give to his friends than those he lost?
287,"Jack received x1 emails in the morning, x2 emails in the afternoon and x3 emails in the evening. how many more emails did jack receive in the morning than in the evening?"
288,Jack received x1 emails in the morning and x2 emails in the afternoon. how many more emails did jack receive in the afternoon than in the morning?
289,"After eating a hearty meal they went to see the Buckingham palace. There were x1 paintings in the Buckingham palace. There, Rachel learned that x2 visitors came to the Buckingham palace that day. If there were x3 visitors the previous day how many visited the buckingham palace within x4 days?"
290,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked x1 chocolate chip cookies and x2 raisin cookies yesterday. And she baked x3 raisin cookies and x4 chocolate chip cookies this morning. how many more chocolate chip cookies did helen bake yesterday compared to today?
291,Jake has x1 fewer peaches than Steven who has x2 more peaches than Jill. Steven has x3 peaches. how many peaches does jill have?
292,Lucy went to the grocery store. She bought x1 packs of cookie and some packs of cake. In total she had x2 packs of grocery how many packs of cake did she buy in all?
293,Every day Ryan spends x1 hours on learning english x2 hours on learning chinese and x3 hours on learning spanish. how many more hours does he spend on learning english than he does on learning chinese?
294,A book has x1 chapters. The first chapter is x2 pages long. The second chapter is x3 pages long. how many more pages does the first chapter have than the second chapter?
295,"x1 green peaches, <x3> yellow peaches and 2 red peaches are in the basket. how many more green peaches than red peaches are in the basketx1 green peaches, <<3>> yellow peaches and 2 red peaches are in the basket. how many more green peaches than red peaches are in the basketx1 green peaches, <<3>> yellow peaches and 2 red peaches are in the basket. how many more green peaches than red peaches are in the basketx1 green peaches, <<3>> yellow peaches and 2 red peaches are in the basket. how many more green peaches than red peaches are in the basketx1 green peaches, <<3>> yellow peaches and 2 red peaches are in the basket. how many more green peaches than red peaches are in the basketx1 green peaches, <<3>> yellow peaches and 2 red peaches are in the basket. how many more green peaches than red peaches are in the basketx1 green peaches, <<3>> yellow peaches and 2 red peaches are in the basket. how many more green peaches than red peaches are in the basketx1 green peaches, <<3>> yellow peaches and 2 red peaches are in the basket. how many more green peaches than red peaches are in the basketx2?"
296,Debby drinks x1 bottles a day. If she bought a total of x2 water bottles how many days would they last her?
297,There were x1 parents in the program and x2 people in total. how many pupils were present in the program?
298,"Julia played tag with x1 kids on monday, <x3> kids on tuesday and 2 kids on wednesday. how many kids did she play with altogetherJulia played tag with x1 kids on monday, <<3>> kids on tuesday and 2 kids on wednesday. how many kids did she play with altogetherJulia played tag with x1 kids on monday, <<3>> kids on tuesday and 2 kids on wednesday. how many kids did she play with altogetherJulia played tag with x1 kids on monday, <<3>> kids on tuesday and 2 kids on wednesday. how many kids did she play with altogetherJulia played tag with x1 kids on monday, <<3>> kids on tuesday and 2 kids on wednesday. how many kids did she play with altogetherJulia played tag with x1 kids on monday, <<3>> kids on tuesday and 2 kids on wednesday. how many kids did she play with altogetherJulia played tag with x1 kids on monday, <<3>> kids on tuesday and 2 kids on wednesday. how many kids did she play with altogetherJulia played tag with x1 kids on monday, <<3>> kids on tuesday and 2 kids on wednesday. how many kids did she play with altogetherx2?"
299,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped <x3> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. how far did the mouse jumpThe grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped <<3>> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. how far did the mouse jumpThe grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped <<3>> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. how far did the mouse jumpThe grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped <<3>> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. how far did the mouse jumpThe grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped <<3>> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. how far did the mouse jumpThe grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped <<3>> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. how far did the mouse jumpThe grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped <<3>> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. how far did the mouse jumpThe grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped <<3>> inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. how far did the mouse jumpx2?"
300,Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of x1 g of colors to paint them. If the feathers require x2 g of wax and right now he just needs x3 g how many grams of wax does he already have?
301,Mary is baking a cake. The recipe calls for x1 cups of flour and x2 cups of sugar. She already put in x3 cups of flour. how many more cups of flour than cups of sugar does she need to add now?
302,Jake has x1 more apples and x2 fewer peaches than Steven. Steven has x3 peaches and x4 apples. how many apples does jake have?
303,Jake has x1 fewer peaches than Steven who has x2 more peaches than Jill. Steven has x3 peaches. how many more peaches does jill have than jake?
304,Last week Fred had x1 dollars and Jason had x2 dollars. Fred washed cars over the weekend and now has x3 dollars and Jason did not work. how much money do they have together now?
305,Jake has x1 fewer peaches and x2 more apples than Steven. Steven has x3 peaches and x4 apples. how many peaches does jake have?
306,There are x1 different books and x2 different movies in the ' crazy silly school ' series. If you read x3 of the movies and watched x4 of the books how many more books than movies have you read?
307,Debby bought x1 water bottles when they were on sale. If she drank x2 bottles a day for some days. If she has x3 bottles left how many days did she drink for?
308,He also had x1 aquariums for saltwater animals and x2 aquariums for freshwater animals. Each aquarium has x3 animals in it. how many saltwater animals does tyler have?
309,Tiffany was collecting cans for recycling. On monday she had x1 bags of cans. She found x2 bags of cans on the next day and x3 bags of cans the day after that. how many bags did she have altogether?
310,The grasshopper and the frog had a jumping contest. The grasshopper jumped x1 inches and the frog jumped x2 inches. how much did they jump altogether?
311,There were x1 dollars in Olivia's wallet. She collected x2 more dollars from an atm. After she visited a supermarket there were x3 dollars left. how much did she spend?
312,A waiter had x1 customers. After some left he still had x2 customers. how many more customers left than those that stayed behind?
313,Katie had x1 ds games and her friends had x2 games. how many more games does katie have than her friends?
314,Frank put some pieces of candy equally into x1 bags. If he had x2 pieces of candy how many pieces of candy are in each bag?
315,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by x1 of the pickers that they fill x2 drums of grapes in x3 days. how many drums of grapes would be filled in each day?"
316,Julia played tag with x1 kids on tuesday. She had played tag with x2 kids on monday. how many more kids did she play with on monday than on tuesday?
317,Julia played tag with a total of x1 kids. She played with x2 kids on monday and yet with some more kids on tuesday. how many kids did she play with on tuesday?
318,Jerry had x1 books and <x3> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more action figures than books were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more action figures than books were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more action figures than books were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more action figures than books were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more action figures than books were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more action figures than books were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more action figures than books were on his shelfJerry had x1 books and <<3>> action figures on a shelf in his room. Later he added 2 more action figures to the shelf. how many more action figures than books were on his shelfx2?
319,There are x1 houses on a block. If a mailman has to give x2 pieces of junk mail to each block how many pieces of junk mail should he give in each house?
320,Dave had x1 apps and x2 files on his phone. After deleting some apps and files he had x3 apps and x4 files left. how many more files than apps does he have left on the phone?
321,Baker made x1 cakes. He bought x2 new cakes and sold x3 cakes. how many more cakes did baker buy than those he sold?
322,x1 birds and x2 storks were sitting on the fence. x3 more storks came to join them. how many birds and storks are sitting on the fence?
323,David did x1 push-ups in gym class today. David did x2 more push-ups than Zachary. how many push-ups did zachary do?
324,Edward spent $ x1 to buy books and $ x2 to buy pens. Now he has $ x3. how much did edward have before he spent his money?
325,Bryan took a look at his books as well. Each bookshelf contains x1 books. If he has a total of x2 books how many bookshelves does he have?
326,There were x1 roses in the vase. Jessica cut some more roses from her flower garden which had a total of x2 roses. There are now x3 roses in the vase. how many roses did she cut?
327,Luke played a trivia game and gained x1 points in each round of a game. If he scored x2 points in the trivia game how many rounds did he play?
328,Baker made x1 cakes. He sold x2 of them and bought x3 new cakes. how many more cakes did baker buy than those he sold?
329,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of unripe oranges and x2 sacks of ripe oranges per day. how many more sacks of unripe oranges than ripe oranges are harvested per day?
330,"At the zoo, a cage had snakes and alligators. The total number of animals in the cage was x1. If x2 snakes and x3 alligators were hiding how many animals were not hiding in all?"
331,Danny has x1 bottle caps in his collection. He found some more bottle caps at the park. If he has x2 bottle caps now how many bottle caps did he find at the park?
332,Frank was reading through his favorite book. The book had x1 chapters each with x2 pages. It took frank x3 days to finish the book. how many chapters did he read per day?
333,There were x1 roses in the vase. Jessica threw away x2 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now x3 roses in the vase. how many roses did she cut?
334,"Rachel had to complete x1 pages of math homework, x2 pages of reading homework and x3 more pages of biology homework. how many pages of reading and biology homework did she have to complete?"
335,Jerry had x1 action figures and x2 books on a shelf in his room. Later he added x3 more books to the shelf. how many more action figures than books were on his shelf?
336,In a school there are x1 girls and x2 boys. how many more boys than girls does the school have?
337,Bobby ate some pieces of candy. Then he ate x1 more. If he ate a total of x2 pieces of candy how many pieces of candy had he eaten at the start?
338,He then went to see the oranges being harvested. He found out that they harvest x1 sacks per day. how many days will it take to harvest x2 sacks of oranges?
339,x1 campers went rowing in the morning x2 campers went rowing in the afternoon and x3 campers went rowing in the evening. how many more campers went rowing in the morning than in the evening?
340,"Jack received x1 emails in the afternoon, x2 emails in the morning and x3 emails in the evening. how many more emails did jack receive in the morning than in the afternoon?"
341,Dan has $ x1. For a total of $ <x3> he bought 2 candy bar each one costing the same amount of money. how much did each candy bar costDan has $ x1. For a total of $ <<3>> he bought 2 candy bar each one costing the same amount of money. how much did each candy bar costDan has $ x1. For a total of $ <<3>> he bought 2 candy bar each one costing the same amount of money. how much did each candy bar costDan has $ x1. For a total of $ <<3>> he bought 2 candy bar each one costing the same amount of money. how much did each candy bar costDan has $ x1. For a total of $ <<3>> he bought 2 candy bar each one costing the same amount of money. how much did each candy bar costDan has $ x1. For a total of $ <<3>> he bought 2 candy bar each one costing the same amount of money. how much did each candy bar costDan has $ x1. For a total of $ <<3>> he bought 2 candy bar each one costing the same amount of money. how much did each candy bar costDan has $ x1. For a total of $ <<3>> he bought 2 candy bar each one costing the same amount of money. how much did each candy bar costx2?
342,Rachel had to complete x1 pages of math homework and x2 pages of reading homework. how many more pages of reading homework than math homework did she have?
343,A book has x1 chapters. The first chapter is x2 pages long. The second chapter is x3 pages long. how many more pages does the second chapter have than the first chapter?
344,There are x1 different movies and x2 different books in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more movies do you still have to watch?
345,Haley grew some trees in her backyard. After a typhoon x1 died. If x2 trees were left how many trees did she grow?
346,The Razorback shop makes $ x1 dollars off each t-shirt and $ x2 off each jersey. During the Arkansas and Texas tech game they sold x3 t-shirts and x4 jerseys. how much more does a t-shirt cost than a jersey?
347,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked x1 chocolate chip cookies and x2 raisin cookies yesterday. And she baked x3 raisin cookies and x4 chocolate chip cookies this morning. how many chocolate chip cookies did helen bake?
348,Marco and his dad went strawberry picking. Together they collected strawberries that weighed x1 pounds. On the way back Marco ' dad found x2 more pounds of strawberries. Marco's strawberries now weighed x3 pounds. how much did his dad's strawberries weigh now?
349,"x1 red peaches, and some more green peaches are in the basket. If there are x2 more green peaches than red peaches in the basket how many green peaches are in the basket?"
350,"After a typhoon, x1 trees in Haley's backyard died. If she had grown x2 trees initially how many more trees died in the typhoon than those that survived?"
351,Josh had x1 marbles in his collection. He lost some marbles. If he has x2 marbles now how many marbles did he lose?
352,They decided to hold the party in their backyard. They have x1 chairs for each set of table. If they have x2 sets of tables how many more chairs than tables do they have?
353,He then went to see the oranges being harvested. He found out that they harvest x1 sacks per day. how many oranges do they harvest per day if each sack contains x2 oranges?
354,At the arcade Dave had won some tickets. He used x1 tickets to buy some toys. If he still has x2 tickets left how many tickets did dave win at the arcade?
355,Adam could fit x1 action figures on each shelf in his room. His room has could hold x2 action figures. how many total shelves did his room have?
356,Marco and his dad went strawberry picking. Together they collected strawberries that weighed x1 pounds. On the way back Marco lost x2 pounds of strawberries. Marco's strawberries now weighed x3 pounds. how much did his dad's strawberries weigh?
357,Mary is baking a cake. The recipe calls for x1 cups of flour and <x3> cups of sugar. She already put in 2 cups of sugar. how many more cups of sugar does she need to addMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in 2 cups of sugar. how many more cups of sugar does she need to addMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in 2 cups of sugar. how many more cups of sugar does she need to addMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in 2 cups of sugar. how many more cups of sugar does she need to addMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in 2 cups of sugar. how many more cups of sugar does she need to addMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in 2 cups of sugar. how many more cups of sugar does she need to addMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in 2 cups of sugar. how many more cups of sugar does she need to addMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in 2 cups of sugar. how many more cups of sugar does she need to addx2?
358,Winter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. If x2 bird families flew away to africa and x3 bird families flew away to asia how many more bird families flew away to asia than those that flew away to africa?
359,Jake has x1 fewer peaches than Steven and x2 more peaches than Jill. Steven has x3 peaches. how many more peaches does steven have than jill?
360,Zachary did x1 push-ups and David did x2 push-ups in gym class today. how many more push-ups did zachary do than david?
361,x1 people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has x2 seats how many people can each seat hold?
362,Mary is baking a cake. The recipe calls for x1 cups of flour x2 cups of sugar and x3 cups of salt. She already put in x4 cups of flour. how many more cups of sugar than cups of salt does she need to add now?
363,Paige raised x1 goldfish and <x3> catfish in the pond but stray cats loved eating them. Now she has 2 left. how many goldfish disappearedPaige raised x1 goldfish and <<3>> catfish in the pond but stray cats loved eating them. Now she has 2 left. how many goldfish disappearedPaige raised x1 goldfish and <<3>> catfish in the pond but stray cats loved eating them. Now she has 2 left. how many goldfish disappearedPaige raised x1 goldfish and <<3>> catfish in the pond but stray cats loved eating them. Now she has 2 left. how many goldfish disappearedPaige raised x1 goldfish and <<3>> catfish in the pond but stray cats loved eating them. Now she has 2 left. how many goldfish disappearedPaige raised x1 goldfish and <<3>> catfish in the pond but stray cats loved eating them. Now she has 2 left. how many goldfish disappearedPaige raised x1 goldfish and <<3>> catfish in the pond but stray cats loved eating them. Now she has 2 left. how many goldfish disappearedPaige raised x1 goldfish and <<3>> catfish in the pond but stray cats loved eating them. Now she has 2 left. how many goldfish disappearedx2?
364,Rachel picked x1 ripe apples from her tree. Now the tree has x2 apples still on it. If x3 of those are ripe and the rest are unripe how many unripe apples does the tree have now?
365,Zachary did x1 push-ups in gym class today. David did x2 more push-ups than zachary. how many push-ups did zachary and david do altogether?
366,If Lewis earns a total of $ x1 during x2 weeks of harvest how much money does he earn each week?
