,Index,With Steps,Without Steps,With Intermediate Variables,Numerical Answer
138,696,"There are 11 groups of 2 eggs each, so Rebecca has 22 eggs in total.",Rebecca has 22 eggs.,"Rebecca has n eggs. 

She wants to split them into groups of w. 

That means she will have n/w groups. 

Each group has x eggs. 

That means the total number of eggs is n/w*x. 

We know that n/w*x = 22, so n = 22*w/x. 

Therefore, n = 22*11/2 = 242.",22
139,303,Jill has 1 more peach than Jake.,Jill has 1 more peach than Jake.,Jill has 1 more peach than Jake.,1
140,658,There are a total of 12 storks sitting on the fence.,There are 8 storks sitting on the fence.,There are w + x + y = 12 storks sitting on the fence.,8
141,80,"There were 36 children riding on the bus. At the bus stop, 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus. So, 68 - 36 = 32 more children got off the bus than those that got on.","There were more children that got off the bus than those that got on. In this case, 36 - 68 = -32.","There were w children on the bus to start with. 

x children got off the bus, 

while some more got on the bus. 

Let's call the number of children who got on the bus z. 

Then we have the following system of equations: 

w - x = y 
x + z = y 

From the first equation we have: 

z = w - y 

Substituting this value of z in the second equation we get: 

x + w - y = y 

or 

x - y = w - y 

or 

x - y = y - w 

or 

x = w 

Thus, the number of children who got on the bus was equal to the number of children who got off the bus.",24
142,643,"The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at a speed of 17, they will need 71 more feet to reach the end of the cave.","1218 - 849 = 369

369 / 17 = 21.7

Therefore, it will take them 21.7 more hours to reach the end of the cave.","The cave is w feet deep and they are already at x feet. If they are travelling at speed of y How much farther until they reach the end of the cave?

The answer is 369 feet.",369
143,606,"4 hours on English and 6 hours on Chinese, every day.",4 hours on learning English and 6 hours on learning Chinese each day.,"4w + 6x = y 

24w + 36x = y 

y = 24w + 36x",10
144,34,Jack received 3 emails in the afternoon.,Jack received 3 emails in the afternoon.,3,1
145,341,Each candy bar cost $1.50.,Each candy bar cost $1.50.,"y = 2 
x = 4 
w = 3 

Each candy bar cost w/y = 3/2 = 1.5 dollars.",2
146,828,John needs 4 planks for the house wall.,John needs 4 planks for the house wall.,"There are 11 walls in the house. 
Each wall needs 3 pieces of nails to be secured. 
An additional 8 nails were used. 

Therefore, John needs 33 planks for the house wall.",1
147,635,"Fay has 31 packs of pencils, each with 6 pencils. 

She is placing her pencils into rows with 19 pencils in each row. 

So she has 31 * 6 = 186 pencils in total.",Faye has 186 pencils.,Faye has 186 pencils.,186
148,697,3,3,3,3
149,970,"There are 4502 skittles in Steven's skittles collection. Steven also has 4276 erasers. If the skittles and erasers are organized into 154 groups, then each group has 29 skittles and 28 erasers.",Each group would be 28.,Each group has 29 skittles and 28 erasers.,57
